snapshot,converged,error,n_iter
2011-04-16 10:00:00,True,1.7784689387845276e-08,4
2011-04-16 20:00:00,False,1.957833101009706e+36,100
2011-04-17 06:00:00,False,6.363162694773374e+31,100
2011-04-17 16:00:00,False,1.4794646691323687e+38,100
2011-04-18 02:00:00,False,2.444316837650149e+35,100
2011-04-18 12:00:00,True,1.0449392107148014e-07,3
2011-04-18 22:00:00,False,8.562139599840633e+36,100
2011-04-19 08:00:00,True,2.8260530804402606e-08,5
2011-04-19 18:00:00,False,7.866463308651108e+39,100
2011-04-20 04:00:00,False,8.827298145116604e+31,100
2011-04-20 14:00:00,True,1.5224702565319603e-07,3
2011-04-21 00:00:00,False,2.4892815540387756e+31,100
2011-04-21 10:00:00,True,9.222480912285391e-08,3
2011-04-21 20:00:00,False,2.5025066112795865e+30,100
2011-04-22 06:00:00,True,6.426088248190354e-07,3
2011-04-22 16:00:00,True,1.5042643575213788e-08,4
2011-04-23 02:00:00,True,4.488303465807796e-08,4
2011-04-23 12:00:00,True,1.2492662460061865e-08,4
2011-04-23 22:00:00,False,3.552031380309845e+20,100
2011-04-24 08:00:00,True,2.5620944033022397e-08,4
2011-04-24 18:00:00,False,3.089914725383314e+34,100
2011-04-25 04:00:00,True,3.029642314800185e-09,4
2011-04-25 14:00:00,True,1.4733771536157292e-08,4
2011-04-26 00:00:00,True,9.08252104636631e-08,3
2011-04-26 10:00:00,True,8.996187261800515e-08,3
2011-04-26 20:00:00,True,2.29993872835621e-08,5
2011-04-27 06:00:00,True,3.83361111744307e-08,3
2011-04-27 16:00:00,True,7.841492788429605e-08,3
2011-04-28 02:00:00,True,2.233890450398235e-08,3
2011-04-28 12:00:00,True,2.1323444343579467e-08,3
2011-04-28 22:00:00,True,4.830832267543883e-07,3
2011-04-29 08:00:00,True,2.433881718388875e-08,3
2011-04-29 18:00:00,True,5.0897426953091206e-08,3
2011-04-30 04:00:00,True,6.734114355033682e-08,4
2011-04-30 14:00:00,True,3.805574806392542e-07,3
2011-05-01 00:00:00,True,1.082934364404764e-07,4
2011-05-01 10:00:00,True,5.12266296937014e-07,3
2011-05-01 20:00:00,True,3.04600069611638e-08,3
2011-05-02 06:00:00,True,8.345084800964742e-08,3
2011-05-02 16:00:00,True,1.541322944831336e-07,3
