name,scn_name,bus,carrier,p_nom,p_max_pu,marginal_cost,efficiency,up_time_before,e_nom_max,control,weight,p_nom_opt
74938 solar_thermal_collector,eGon2035,74938,solar_thermal_collector,4.304384965204467,1.0,0.01144782697406167,1.0,0,inf,PQ,4.304384965204467,4.304384965204467
74939 central_biomass_CHP_heat,eGon2035,74939,central_biomass_CHP_heat,1.508,1.0,0.008256068201371225,1.0,0,inf,Slack,1.508,1.508
74939 load shedding,,74939,load shedding,957728.7254461071,1.0,10000.011615682923,1.0,1,0.0,PQ,957728.7254461072,957728.7254461071
74942 central_biomass_CHP_heat,eGon2035,74942,central_biomass_CHP_heat,22.537,1.0,0.003149290532535063,1.0,0,inf,Slack,22.537,22.537
74942 load shedding,,74942,load shedding,2075078.905133232,1.0,10000.009329511748,1.0,1,0.0,PQ,2075078.9051332322,2075078.905133232
74942 solar_thermal_collector,eGon2035,74942,solar_thermal_collector,58.8182676689688,1.0000000000000002,0.007350657341614695,1.0000000000000002,0,inf,PQ,58.81826766896881,58.8182676689688
74943 central_biomass_CHP_heat,eGon2035,74943,central_biomass_CHP_heat,0.201,1.0,0.00805040034751556,1.0,0,inf,Slack,0.201,0.201
74943 load shedding,,74943,load shedding,3990536.3560254467,1.0,10000.008371493648,1.0,1,0.0,PQ,3990536.3560254467,3990536.3560254467
74943 solar_thermal_collector,eGon2035,74943,solar_thermal_collector,72.22287848118835,1.0,0.008387718116369295,1.0,0,inf,PQ,72.22287848118835,72.22287848118835
74944 central_biomass_CHP_heat,eGon2035,74944,central_biomass_CHP_heat,2.98,1.0,0.00021891265701906118,1.0,0,inf,Slack,2.98,2.98
74944 load shedding,,74944,load shedding,1596214.5424101786,1.0,10000.005706134314,1.0,1,0.0,PQ,1596214.5424101786,1596214.5424101786
74944 solar_thermal_collector,eGon2035,74944,solar_thermal_collector,19.971097547031388,1.0,0.0054725227016004215,1.0,0,inf,PQ,19.971097547031388,19.971097547031388
74946 load shedding,,74946,load shedding,638485.8169640715,1.0,10000.007301875708,1.0,1,0.0,PQ,638485.8169640715,638485.8169640715
74946 solar_thermal_collector,eGon2035,74946,solar_thermal_collector,16.29250291478422,1.0,0.005862662024038415,1.0,0,inf,PQ,16.29250291478422,16.29250291478422
74947 central_biomass_CHP_heat,eGon2035,74947,central_biomass_CHP_heat,8.085,0.9999999999999999,0.007788471666433818,0.9999999999999999,0,inf,Slack,8.085,8.085
74947 load shedding,,74947,load shedding,4629022.172989518,1.0,10000.006576545878,1.0,1,0.0,PQ,4629022.172989518,4629022.172989518
74947 solar_thermal_collector,eGon2035,74947,solar_thermal_collector,61.08683621163843,1.0,0.009078936049700217,1.0,0,inf,PQ,61.08683621163843,61.08683621163843
74948 central_biomass_CHP_heat,eGon2035,74948,central_biomass_CHP_heat,11.068999999999999,1.0,0.005676869344508653,1.0,0,inf,Slack,11.069,11.068999999999999
74948 load shedding,,74948,load shedding,1596214.5424101786,1.0,10000.00742922406,1.0,1,0.0,PQ,1596214.5424101786,1596214.5424101786
74948 solar_thermal_collector,eGon2035,74948,solar_thermal_collector,77.39151137506035,1.0,0.0057280419938848075,1.0,0,inf,PQ,77.39151137506035,77.39151137506035
74949 load shedding,,74949,load shedding,1596214.5424101786,1.0,10000.006507585716,1.0,1,0.0,PQ,1596214.5424101786,1596214.5424101786
74949 solar_thermal_collector,eGon2035,74949,solar_thermal_collector,10.28721216565403,1.0,0.005877012325566468,1.0,0,inf,PQ,10.28721216565403,10.28721216565403
74952 central_biomass_CHP_heat,eGon2035,74952,central_biomass_CHP_heat,31.632,1.0,0.010318859210718626,1.0,0,inf,Slack,31.631999999999998,31.632
74952 load shedding,,74952,load shedding,3671293.4475434106,1.0000000000000002,10000.006572772456,1.0000000000000002,1,0.0,PQ,3671293.447543411,3671293.4475434106
74952 solar_thermal_collector,eGon2035,74952,solar_thermal_collector,93.86790742848655,1.0,0.008653690195018717,1.0,0,inf,PQ,93.86790742848655,93.86790742848655
74953 central_biomass_CHP_heat,eGon2035,74953,central_biomass_CHP_heat,0.116,1.0,0.004596506918961226,1.0,0,inf,Slack,0.116,0.116
74953 load shedding,,74953,load shedding,957728.7254461071,1.0,10000.004707061513,1.0,1,0.0,PQ,957728.7254461072,957728.7254461071
74953 solar_thermal_collector,eGon2035,74953,solar_thermal_collector,8.099269718631685,1.0,0.008926081443128432,1.0,0,inf,PQ,8.099269718631685,8.099269718631685
74954 central_biomass_CHP_heat,eGon2035,74954,central_biomass_CHP_heat,14.437,0.9999999999999999,0.0081595826251987,0.9999999999999999,0,inf,Slack,14.437,14.437
74954 geo_thermal,eGon2035,74954,geo_thermal,285.61099952611306,1.0,0.0010822943056289205,1.0,0,inf,PQ,285.61099952611306,285.61099952611306
74954 load shedding,,74954,load shedding,3830914.901784429,1.0,10000.00989817359,1.0,1,0.0,PQ,3830914.901784429,3830914.901784429
74954 solar_thermal_collector,eGon2035,74954,solar_thermal_collector,63.28236976366386,1.0,0.007426534861738295,1.0,0,inf,PQ,63.28236976366386,63.28236976366386
74956 load shedding,,74956,load shedding,478864.3627230536,1.0,10000.007136262075,1.0,1,0.0,PQ,478864.3627230536,478864.3627230536
74956 solar_thermal_collector,eGon2035,74956,solar_thermal_collector,2.146887995607988,1.0,0.008029028063964565,1.0,0,inf,PQ,2.146887995607988,2.146887995607988
74957 central_biomass_CHP_heat,eGon2035,74957,central_biomass_CHP_heat,1.021,1.0,0.008367064274075686,1.0,0,inf,Slack,1.021,1.021
74957 load shedding,,74957,load shedding,3830914.901784429,1.0,10000.00750612362,1.0,1,0.0,PQ,3830914.901784429,3830914.901784429
74957 solar_thermal_collector,eGon2035,74957,solar_thermal_collector,49.73915177625359,1.0,0.007582595637487605,1.0,0,inf,PQ,49.73915177625359,49.73915177625359
74958 central_biomass_CHP_heat,eGon2035,74958,central_biomass_CHP_heat,4.141,1.0,0.01216217253332632,1.0,0,inf,Slack,4.141,4.141
74958 load shedding,,74958,load shedding,1276971.633928143,1.0,10000.007679894994,1.0,1,0.0,PQ,1276971.633928143,1276971.633928143
74958 solar_thermal_collector,eGon2035,74958,solar_thermal_collector,6.643973060499116,1.0,0.00889235397741026,1.0,0,inf,PQ,6.643973060499116,6.643973060499116
74959 load shedding,,74959,load shedding,957728.7254461071,1.0,10000.009453682955,1.0,1,0.0,PQ,957728.7254461072,957728.7254461071
74959 solar_thermal_collector,eGon2035,74959,solar_thermal_collector,4.814952474013505,1.0000000000000002,0.007674512276334781,1.0000000000000002,0,inf,PQ,4.814952474013506,4.814952474013505
74964 load shedding,,74964,load shedding,478864.3627230536,1.0,10000.00992720456,1.0,1,0.0,PQ,478864.3627230536,478864.3627230536
74964 solar_thermal_collector,eGon2035,74964,solar_thermal_collector,2.952964101223113,0.9999999999999999,0.01765297905472743,0.9999999999999999,0,inf,PQ,2.952964101223113,2.952964101223113
74965 central_biomass_CHP_heat,eGon2035,74965,central_biomass_CHP_heat,7.700000000000001,0.9999999999999998,0.009074721818881094,0.9999999999999998,0,inf,Slack,7.7,7.700000000000001
74965 load shedding,,74965,load shedding,3671293.4475434106,1.0000000000000002,10000.008258354446,1.0000000000000002,1,0.0,PQ,3671293.447543411,3671293.4475434106
74965 solar_thermal_collector,eGon2035,74965,solar_thermal_collector,61.917524161933926,0.9999999999999999,0.007129942219873374,0.9999999999999999,0,inf,PQ,61.91752416193392,61.917524161933926
74966 load shedding,,74966,load shedding,319242.90848203574,1.0,10000.009079302497,1.0,1,0.0,PQ,319242.90848203574,319242.90848203574
74966 solar_thermal_collector,eGon2035,74966,solar_thermal_collector,0.03484211169423833,1.0,0.003259219042978263,1.0,0,inf,PQ,0.03484211169423833,0.03484211169423833
74970 central_biomass_CHP_heat,eGon2035,74970,central_biomass_CHP_heat,2.4,1.0,0.004752509270158107,1.0,0,inf,Slack,2.4,2.4
74970 load shedding,,74970,load shedding,319242.90848203574,1.0,10000.00269733264,1.0,1,0.0,PQ,319242.90848203574,319242.90848203574
74970 solar_thermal_collector,eGon2035,74970,solar_thermal_collector,3.01570882549006,1.0,0.006273757211371234,1.0,0,inf,PQ,3.01570882549006,3.01570882549006
74971 central_biomass_CHP_heat,eGon2035,74971,central_biomass_CHP_heat,1.293,1.0,0.006805294503527493,1.0,0,inf,Slack,1.293,1.293
74971 load shedding,,74971,load shedding,1915457.4508922142,1.0,10000.007681711913,1.0,1,0.0,PQ,1915457.4508922144,1915457.4508922142
74971 solar_thermal_collector,eGon2035,74971,solar_thermal_collector,14.063875631782293,1.0,0.007538980408715419,1.0,0,inf,PQ,14.063875631782293,14.063875631782293
74972 central_biomass_CHP_heat,eGon2035,74972,central_biomass_CHP_heat,19.416,1.0,0.006816046946692557,1.0,0,inf,Slack,19.416,19.416
74972 load shedding,,74972,load shedding,7342586.895086821,1.0000000000000002,10000.008087619772,1.0000000000000002,1,0.0,PQ,7342586.895086822,7342586.895086821
74972 solar_thermal_collector,eGon2035,74972,solar_thermal_collector,134.23526971322488,1.0,0.00782757098548032,1.0,0,inf,PQ,134.23526971322488,134.23526971322488
74973 geo_thermal,eGon2035,74973,geo_thermal,81.86562369122925,1.0,0.012810923139293337,1.0,0,inf,Slack,81.86562369122925,81.86562369122925
74973 load shedding,,74973,load shedding,319242.90848203574,1.0,10000.002134876668,1.0,1,0.0,PQ,319242.90848203574,319242.90848203574
74974 central_biomass_CHP_heat,eGon2035,74974,central_biomass_CHP_heat,11.736,1.0,0.005071961572599575,1.0,0,inf,Slack,11.736,11.736
74974 load shedding,,74974,load shedding,4788643.627230536,1.0,10000.007507328373,1.0,1,0.0,PQ,4788643.627230536,4788643.627230536
74974 solar_thermal_collector,eGon2035,74974,solar_thermal_collector,81.63015616306015,1.0,0.007131939843513884,1.0,0,inf,PQ,81.63015616306015,81.63015616306015
74978 central_biomass_CHP_heat,eGon2035,74978,central_biomass_CHP_heat,6.0,1.0,0.01351860383519109,1.0,0,inf,Slack,6.0,6.0
74978 load shedding,,74978,load shedding,1436593.0881691608,1.0,10000.005817786616,1.0,1,0.0,PQ,1436593.0881691608,1436593.0881691608
74978 solar_thermal_collector,eGon2035,74978,solar_thermal_collector,8.41121769348943,1.0,0.00894466254683011,1.0,0,inf,PQ,8.411217693489432,8.41121769348943
74979 central_biomass_CHP_heat,eGon2035,74979,central_biomass_CHP_heat,2.2012,1.0,0.004577685984158533,1.0,0,inf,Slack,2.2012,2.2012
74979 load shedding,,74979,load shedding,957728.7254461071,1.0,10000.010486626697,1.0,1,0.0,PQ,957728.7254461072,957728.7254461071
74979 solar_thermal_collector,eGon2035,74979,solar_thermal_collector,3.818423095522961,1.0,0.0027578866772526704,1.0,0,inf,PQ,3.818423095522961,3.818423095522961
74980 central_biomass_CHP_heat,eGon2035,74980,central_biomass_CHP_heat,44.355000000000004,1.0,0.010070606084075574,1.0,0,inf,Slack,44.355000000000004,44.355000000000004
74980 load shedding,,74980,load shedding,6065615.261158679,1.0,10000.006499958987,1.0,1,0.0,PQ,6065615.261158679,6065615.261158679
74980 solar_thermal_collector,eGon2035,74980,solar_thermal_collector,103.17956008358613,0.9999999999999999,0.008361729939075491,0.9999999999999999,0,inf,PQ,103.17956008358611,103.17956008358613
74983 load shedding,,74983,load shedding,2075078.905133232,1.0,10000.007566449825,1.0,1,0.0,PQ,2075078.9051332322,2075078.905133232
74983 solar_thermal_collector,eGon2035,74983,solar_thermal_collector,26.66609759280931,1.0,0.007615447115320487,1.0,0,inf,PQ,26.66609759280931,26.66609759280931
74984 load shedding,,74984,load shedding,1596214.5424101786,1.0,10000.006511057358,1.0,1,0.0,PQ,1596214.5424101786,1596214.5424101786
74984 solar_thermal_collector,eGon2035,74984,solar_thermal_collector,28.8966055661141,1.0,0.007244239071707314,1.0,0,inf,PQ,28.8966055661141,28.8966055661141
74985 load shedding,,74985,load shedding,1436593.0881691608,1.0,10000.004875373528,1.0,1,0.0,PQ,1436593.0881691608,1436593.0881691608
74985 solar_thermal_collector,eGon2035,74985,solar_thermal_collector,11.56238767076155,1.0,0.006238670837516775,1.0,0,inf,PQ,11.56238767076155,11.56238767076155
74988 load shedding,,74988,load shedding,478864.3627230536,1.0,10000.009512468978,1.0,1,0.0,PQ,478864.3627230536,478864.3627230536
74988 solar_thermal_collector,eGon2035,74988,solar_thermal_collector,14.610591387395884,1.0,0.002363652975807763,1.0,0,inf,PQ,14.610591387395884,14.610591387395884
74989 load shedding,,74989,load shedding,798107.2712050893,1.0,10000.00656200165,1.0,1,0.0,PQ,798107.2712050893,798107.2712050893
74989 solar_thermal_collector,eGon2035,74989,solar_thermal_collector,10.174315989826258,0.9999999999999999,0.0037101186380378835,0.9999999999999999,0,inf,PQ,10.174315989826258,10.174315989826258
74990 load shedding,,74990,load shedding,478864.3627230536,1.0,10000.009694777424,1.0,1,0.0,PQ,478864.3627230536,478864.3627230536
74990 solar_thermal_collector,eGon2035,74990,solar_thermal_collector,0.7209137178692085,1.0,0.0006206951684659639,1.0,0,inf,PQ,0.7209137178692085,0.7209137178692085
74991 central_biomass_CHP_heat,eGon2035,74991,central_biomass_CHP_heat,0.31,1.0,0.0076756989415489,1.0,0,inf,Slack,0.31,0.31
74991 load shedding,,74991,load shedding,798107.2712050893,1.0,10000.004410152425,1.0,1,0.0,PQ,798107.2712050893,798107.2712050893
74991 solar_thermal_collector,eGon2035,74991,solar_thermal_collector,11.081687130579763,1.0,0.011088494660842127,1.0,0,inf,PQ,11.08168713057976,11.081687130579763
74992 central_biomass_CHP_heat,eGon2035,74992,central_biomass_CHP_heat,0.09,1.0,0.007126385936561572,1.0,0,inf,Slack,0.09,0.09
74992 load shedding,,74992,load shedding,638485.8169640715,1.0,10000.007861610442,1.0,1,0.0,PQ,638485.8169640715,638485.8169640715
74992 solar_thermal_collector,eGon2035,74992,solar_thermal_collector,11.692387987468669,1.0,0.018178912547966476,1.0,0,inf,PQ,11.692387987468669,11.692387987468669
74993 central_biomass_CHP_heat,eGon2035,74993,central_biomass_CHP_heat,0.903,1.0,0.011459652687986193,1.0,0,inf,Slack,0.903,0.903
74993 load shedding,,74993,load shedding,957728.7254461071,1.0,10000.006211697842,1.0,1,0.0,PQ,957728.7254461072,957728.7254461071
74993 solar_thermal_collector,eGon2035,74993,solar_thermal_collector,11.428777709367761,0.9999999999999999,0.005228209602554071,0.9999999999999999,0,inf,PQ,11.428777709367761,11.428777709367761
74994 central_biomass_CHP_heat,eGon2035,74994,central_biomass_CHP_heat,2.0300000000000002,1.0,0.004582460681448289,1.0,0,inf,Slack,2.0300000000000002,2.0300000000000002
74994 load shedding,,74994,load shedding,638485.8169640715,1.0,10000.008925930506,1.0,1,0.0,PQ,638485.8169640715,638485.8169640715
