name,scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,marginal_cost_quadratic,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down
70,eGon2035,12,74983,central_heat_pump,1.2519826845535718,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.2519826845535718,,0.0,0.0,0.0,1.0,0.0,,,,,,,
71,eGon2035,12,74983,central_resistive_heater,0.9595398605148138,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.9595398605148138,,0.0,0.0,0.0,1.0,0.0,,,,,,,
72,eGon2035,12,74984,central_heat_pump,9.69470704165933,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,9.69470704165933,,0.0,0.0,0.0,1.0,0.0,,,,,,,
73,eGon2035,12,74984,central_resistive_heater,10.953351827301049,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,10.953351827301049,,0.0,0.0,0.0,1.0,0.0,,,,,,,
74,eGon2035,12,74985,central_heat_pump,0.42329162325098835,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.42329162325098835,,0.0,0.0,0.0,1.0,0.0,,,,,,,
75,eGon2035,12,74985,central_resistive_heater,0.4147250091391889,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.4147250091391889,,0.0,0.0,0.0,1.0,0.0,,,,,,,
76,eGon2035,12,74988,central_heat_pump,0.7491457686674661,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.7491457686674661,,0.0,0.0,0.0,1.0,0.0,,,,,,,
77,eGon2035,12,74988,central_resistive_heater,0.2009172740294563,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.2009172740294563,,0.0,0.0,0.0,1.0,0.0,,,,,,,
78,eGon2035,12,75001,central_resistive_heater,0.03652936295376571,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.03652936295376571,,0.0,0.0,0.0,1.0,0.0,,,,,,,
79,eGon2035,13,42656,dsm,31.989113795220153,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,31.989113795220153,,0.0,0.0,0.0,1.0,0.0,,,,,,,
81,eGon2035,13,51723,central_resistive_heater,0.006061573659743907,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.006061573659743907,,0.0,0.0,0.0,1.0,0.0,,,,,,,
82,eGon2035,13,51737,central_resistive_heater,0.004868991462451702,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.004868991462451702,,0.0,0.0,0.0,1.0,0.0,,,,,,,
83,eGon2035,13,51841,central_heat_pump,0.48478904758588337,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.48478904758588337,,0.0,0.0,0.0,1.0,0.0,,,,,,,
84,eGon2035,13,51841,central_resistive_heater,0.6535328778206079,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.6535328778206079,,0.0,0.0,0.0,1.0,0.0,,,,,,,
85,eGon2035,13,52072,rural_heat_pump,353.84550932481443,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,353.84550932481443,,0.0,0.0,0.0,1.0,0.0,,,,,,,
86,eGon2035,13,70453,BEV_charger,607.1332809925079,False,inf,0.0,0.0,,0.8999999999999999,0.0,0.0,0.0,607.1332809925079,,0.0,0.0,0.0,1.0,0.0,,,,,,,
92,eGon2035,13,75132,central_heat_pump,2.0600409214665287,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2.0600409214665287,,0.0,0.0,0.0,1.0,0.0,,,,,,,
93,eGon2035,13,75132,central_resistive_heater,0.9144065714989196,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.9144065714989196,,0.0,0.0,0.0,1.0,0.0,,,,,,,
94,eGon2035,13,75197,central_heat_pump,0.13350265410373133,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.13350265410373133,,0.0,0.0,0.0,1.0,0.0,,,,,,,
95,eGon2035,13,75197,central_resistive_heater,0.025357795031058866,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.025357795031058866,,0.0,0.0,0.0,1.0,0.0,,,,,,,
96,eGon2035,13,75212,central_heat_pump,2.4839109075086516,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,2.4839109075086516,,0.0,0.0,0.0,1.0,0.0,,,,,,,
97,eGon2035,13,75212,central_resistive_heater,0.4207480818677638,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.4207480818677638,,0.0,0.0,0.0,1.0,0.0,,,,,,,
98,eGon2035,13,75223,central_heat_pump,0.43080798568235307,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.43080798568235307,,0.0,0.0,0.0,1.0,0.0,,,,,,,
99,eGon2035,13,75223,central_resistive_heater,0.08536547547083097,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.08536547547083097,,0.0,0.0,0.0,1.0,0.0,,,,,,,
100,eGon2035,14,43502,dsm,33.947794922110376,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,33.947794922110376,,0.0,0.0,0.0,1.0,0.0,,,,,,,
101,eGon2035,14,52460,rural_heat_pump,201.96765675585416,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,201.96765675585416,,0.0,0.0,0.0,1.0,0.0,,,,,,,
102,eGon2035,14,69948,BEV_charger,365.25521820783615,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,365.25521820783615,,0.0,0.0,0.0,1.0,0.0,,,,,,,
105,eGon2035,14,74903,central_heat_pump,1.763926832771657,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,1.763926832771657,,0.0,0.0,0.0,1.0,0.0,,,,,,,
106,eGon2035,14,74903,central_resistive_heater,0.3009180120956835,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.3009180120956835,,0.0,0.0,0.0,1.0,0.0,,,,,,,
107,eGon2035,14,74906,central_heat_pump,0.18414888321745787,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.18414888321745787,,0.0,0.0,0.0,1.0,0.0,,,,,,,
108,eGon2035,14,74906,central_resistive_heater,0.060265643244755876,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.060265643244755876,,0.0,0.0,0.0,1.0,0.0,,,,,,,
109,eGon2035,14,74932,central_heat_pump,0.7909559884571491,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.7909559884571491,,0.0,0.0,0.0,1.0,0.0,,,,,,,
110,eGon2035,14,74932,central_resistive_heater,0.14051942490598401,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.14051942490598401,,0.0,0.0,0.0,1.0,0.0,,,,,,,
111,eGon2035,15,42832,dsm,12.153056567121405,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,12.153056567121405,,0.0,0.0,0.0,1.0,0.0,,,,,,,
113,eGon2035,15,52224,rural_heat_pump,133.8884550555648,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,133.8884550555648,,0.0,0.0,0.0,1.0,0.0,,,,,,,
114,eGon2035,15,70955,BEV_charger,254.05571854114532,False,inf,0.0,0.0,,0.9000000000000001,0.0,0.0,0.0,254.05571854114532,,0.0,0.0,0.0,1.0,0.0,,,,,,,
117,eGon2035,15,75190,central_heat_pump,0.08007252674056141,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.08007252674056141,,0.0,0.0,0.0,1.0,0.0,,,,,,,
118,eGon2035,15,75190,central_resistive_heater,0.06253230995049058,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.06253230995049058,,0.0,0.0,0.0,1.0,0.0,,,,,,,
119,eGon2035,15,75205,central_resistive_heater,0.022082085510696438,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.022082085510696438,,0.0,0.0,0.0,1.0,0.0,,,,,,,
120,eGon2035,16,43766,dsm,14.04660180976963,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,14.04660180976963,,0.0,0.0,0.0,1.0,0.0,,,,,,,
122,eGon2035,16,51226,central_resistive_heater,0.004926604231773957,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.004926604231773957,,0.0,0.0,0.0,1.0,0.0,,,,,,,
123,eGon2035,16,52090,rural_heat_pump,189.53879583142984,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,189.53879583142984,,0.0,0.0,0.0,1.0,0.0,,,,,,,
124,eGon2035,16,70227,BEV_charger,301.35066670179367,False,inf,0.0,0.0,,0.9,0.0,0.0,0.0,301.35066670179367,,0.0,0.0,0.0,1.0,0.0,,,,,,,
126,eGon2035,16,75109,central_heat_pump,0.6104675206053388,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.6104675206053388,,0.0,0.0,0.0,1.0,0.0,,,,,,,
127,eGon2035,16,75109,central_resistive_heater,0.48574794254564635,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.48574794254564635,,0.0,0.0,0.0,1.0,0.0,,,,,,,
128,eGon2035,16,75135,central_resistive_heater,0.6874062669324449,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.6874062669324449,,0.0,0.0,0.0,1.0,0.0,,,,,,,
129,eGon2035,17,43552,dsm,145.77451804607327,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,145.77451804607327,,0.0,0.0,0.0,1.0,0.0,,,,,,,
130,eGon2035,17,50490,central_heat_pump,21.876306010070365,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,21.876306010070365,,0.0,0.0,0.0,1.0,0.0,,,,,,,
131,eGon2035,17,50490,central_resistive_heater,27.889317616933223,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,27.889317616933223,,0.0,0.0,0.0,1.0,0.0,,,,,,,
132,eGon2035,17,50533,central_heat_pump,0.1913000771950174,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.1913000771950174,,0.0,0.0,0.0,1.0,0.0,,,,,,,
133,eGon2035,17,50533,central_resistive_heater,0.24386154309509755,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.24386154309509755,,0.0,0.0,0.0,1.0,0.0,,,,,,,
