name,bus0,bus1,carrier,x,r,b,s_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,lifetime,capital_cost,length,num_parallel,geom,v_nom,x_pu_eff,r_pu_eff,s_nom_opt,country
25,43764,5,AC,38.901597067792544,4.333967226846477,6.193675111137301e-05,3580.0,True,3580.0,14320.0,1.0,40.0,108.26287337730946,309.0363199063128,2.0,,380.0,0.0002694016417437157,3.001362345461549e-05,3580.000000002752,CZ
26,43766,43774,AC,84.89960440523089,10.353610293320841,0.005984935990555629,3396.205223481055,True,3396.205223481055,13584.82089392422,0.7,40.0,1501.1288876158937,690.2406862213894,2.0,,380.0,0.0005879473989281917,7.170090230831607e-05,3396.205223482151,DKSE
27,43772,43774,AC,23.453655422654965,2.860201880811581,0.0077681691243056995,7361.580574443006,True,7361.580574443006,29446.322297772025,0.7,40.0,898.96099369057,413.3163382705563,4.335180055401662,,380.0,0.00016242143644497898,1.980749224938768e-05,7361.580574443662,NOSE
3,0,43765,AC,27.04283128023687,3.6121827611351707,6.566307281357563e-06,4900.0,True,4900.0,16021.486288219148,1.0,40.0,52.785296449517304,297.2783722106309,5.0,,380.0,0.0001872772249323883,2.5015116074343286e-05,9834.410616744164,DK
4,1,3,AC,6.384021869947978,0.7256710671500972,0.00045318325527959956,19460.0,True,19460.0,58371.497855717214,1.0,40.0,219.51039627960282,262.7330689946052,13.0,,380.0,4.421067776972284e-05,5.025422902701504e-06,19460.000000004395,DE
5,1,4,AC,17.754020547117427,2.0765942444834513,0.0003147986273646793,8720.0,True,8720.0,27701.727795933595,1.0,39.99999999999999,94.40797370912651,306.38078291323393,9.0,,380.0,0.0001229502807972121,1.4380846568444953e-05,8720.000000030148,DE
6,1,43761,AC,37.79916884698273,4.917181147727121,0.00013145793641779056,4620.0,True,4620.0,18480.0,1.0,40.0,150.35613418395906,381.06260144707613,3.0,,380.0,0.00026176709727827375,3.4052501023041e-05,4620.000000011041,AT
7,1,43763,AC,5.234409573350896,0.6478136219193675,7.036090760729998e-05,24110.0,True,24110.0,85701.48628821915,1.0,40.0,27.490209835326024,268.982400051931,19.0,,380.0,3.624937377666825e-05,4.486243919109194e-06,25280.050823537422,CH
8,1,43767,AC,17.531272285350955,2.129997765252912,1.1023979113073736e-05,13340.0,True,13340.0,39042.9725764383,1.0,40.0,31.948215614755934,478.52021662893765,10.0,,380.0,0.00012140770280713958,1.4750677044687757e-05,18187.723972946464,FR
9,1,43770,AC,20.595819359040462,7.1458848413826495,0.00012080380103645161,4160.0,True,4160.0,16640.0,1.0,40.0,97.16254651743365,176.16211739681114,7.0,,380.0,0.00014263032797119435,4.948673712868871e-05,4160.000000002527,LU
