name,scn_name,bus,carrier,p_nom,p_nom_extendable,p_nom_min,p_max_pu,capital_cost,max_hours,efficiency_store,efficiency_dispatch,control,p_nom_opt
27 battery,eGon2035,27,battery,0.0,True,158.99491060154648,1.0,64763.666508318216,5.999999999999999,0.9797958971132711,0.9797958971132711,PV,158.9953661957696
28 battery,eGon2035,28,battery,0.0,True,72.6542664717818,1.0,64763.66650831821,6.0,0.9797958971132712,0.9797958971132712,PV,72.6560746571672
29 battery,eGon2035,29,battery,0.0,True,211.95689093627468,1.0,64763.666508318216,6.0,0.9797958971132712,0.9797958971132712,PV,211.9574305461402
3 battery,eGon2035,3,battery,0.0,True,580.4089552291923,1.0,64763.66650831822,6.0,0.9797958971132713,0.9797958971132713,PV,580.4093284822296
3 pumped_hydro,eGon2035,3,pumped_hydro,160.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,160.0
30 battery,eGon2035,30,battery,0.0,True,167.89712470355937,1.0,64763.66650831822,6.000000000000001,0.9797958971132711,0.9797958971132711,PV,167.9008184530029
31 battery,eGon2035,31,battery,0.0,True,73.91363177969919,1.0,64763.66650831821,6.0,0.9797958971132712,0.9797958971132712,PV,73.91363443895264
32 battery,eGon2035,32,battery,0.0,True,116.67412361944427,1.0,64763.666508318216,6.0,0.9797958971132713,0.9797958971132713,PV,116.67663099307849
33 battery,eGon2035,33,battery,0.0,True,99.78066310265632,0.9999999999999999,64763.666508318216,6.0,0.9797958971132712,0.9797958971132712,PV,99.78264169860046
33 pumped_hydro,eGon2035,33,pumped_hydro,138.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,138.0
34 battery,eGon2035,34,battery,0.0,True,345.34460236956835,1.0,64763.666508318216,6.0,0.9797958971132712,0.9797958971132712,PV,345.34579299314584
35 battery,eGon2035,35,battery,0.0,True,82.67272785872898,1.0,64763.66650831822,6.0,0.9797958971132712,0.9797958971132712,PV,82.6731176552153
36 battery,eGon2035,36,battery,0.0,True,204.3641018742584,1.0,64763.66650831821,6.0,0.9797958971132712,0.9797958971132712,PV,204.36460243545514
37 battery,eGon2035,37,battery,0.0,True,165.49625734836673,1.0,64763.666508318216,6.0,0.9797958971132711,0.9797958971132711,PV,165.4966363406114
38 battery,eGon2035,38,battery,0.0,True,638.4921328319167,1.0,64763.666508318216,6.0,0.9797958971132712,0.9797958971132712,PV,638.4931103091932
39 battery,eGon2035,39,battery,0.0,True,14.82333796272041,1.0,64763.66650831821,6.0,0.9797958971132713,0.9797958971132713,PV,14.823351129374034
4 battery,eGon2035,4,battery,0.0,True,738.664458625165,1.0,64763.666508318216,6.0,0.9797958971132712,0.9797958971132712,PV,738.6648489991312
40 battery,eGon2035,40,battery,0.0,True,152.45566367582535,1.0,64763.666508318216,6.0,0.9797958971132712,0.9797958971132712,PV,152.45610019501942
40 pumped_hydro,eGon2035,40,pumped_hydro,119.1,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,119.1
41 battery,eGon2035,41,battery,0.0,True,240.8723397719492,1.0,64763.666508318216,6.0,0.9797958971132713,0.9797958971132713,PV,240.8734629812458
42 battery,eGon2035,42,battery,0.0,True,258.4882782654815,1.0,64763.666508318216,6.0,0.9797958971132713,0.9797958971132713,PV,258.49401822868134
43 battery,eGon2035,43,battery,0.0,True,145.41436245933906,1.0,64763.666508318216,6.0,0.9797958971132711,0.9797958971132711,PV,145.41457313963707
43775 battery,eGon2035,43775,battery,1767.57494945,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,1767.57494945
43775 pumped_hydro,eGon2035,43775,pumped_hydro,300.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,300.0
43776 battery,eGon2035,43776,battery,1350.0,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,1350.0
43776 pumped_hydro,eGon2035,43776,pumped_hydro,1395.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,1395.0
43777 battery,eGon2035,43777,battery,1047.2089756,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,1047.2089756
43777 pumped_hydro,eGon2035,43777,pumped_hydro,3989.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,3989.0
43778 battery,eGon2035,43778,battery,1337.0050395500002,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,1337.0050395500002
43778 pumped_hydro,eGon2035,43778,pumped_hydro,687.5999756,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,687.5999756
43779 battery,eGon2035,43779,battery,768.8703331500001,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,768.8703331500001
43780 battery,eGon2035,43780,battery,422.3056838,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,422.3056838
43781 battery,eGon2035,43781,battery,10432.467792820002,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,10432.467792820002
43781 pumped_hydro,eGon2035,43781,pumped_hydro,1800.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,1800.0
43782 battery,eGon2035,43782,battery,170.85502953500006,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,170.85502953500006
43783 battery,eGon2035,43783,battery,4778.14575,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,4778.14575
43783 pumped_hydro,eGon2035,43783,pumped_hydro,4004.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,4004.0
43785 battery,eGon2035,43785,battery,2025.02449595,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,2025.02449595
43787 battery,eGon2035,43787,battery,625.0,False,0.0,1.0,0.0,6.0,0.9797958971132712,0.9797958971132712,PV,625.0
43787 pumped_hydro,eGon2035,43787,pumped_hydro,1323.099976,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,1323.099976
43788 battery,eGon2035,43788,battery,2623.0080286700004,False,0.0,0.9999999999999998,0.0,5.999999999999998,0.9797958971132712,0.9797958971132712,PV,2623.0080286700004
44 battery,eGon2035,44,battery,0.0,True,215.802023307394,1.0,64763.666508318216,6.0,0.9797958971132712,0.9797958971132712,PV,215.802589857457
44 pumped_hydro,eGon2035,44,pumped_hydro,39.8,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,39.8
45 battery,eGon2035,45,battery,0.0,True,81.99938232590551,1.0,64763.666508318216,6.0,0.9797958971132711,0.9797958971132711,PV,81.99981828808964
46 battery,eGon2035,46,battery,0.0,True,85.06538402355287,1.0,64763.666508318216,6.0,0.9797958971132712,0.9797958971132712,PV,85.06589636083203
47 battery,eGon2035,47,battery,0.0,True,49.812861334956416,1.0,64763.666508318216,6.000000000000001,0.9797958971132712,0.9797958971132712,PV,49.81305331290878
48 battery,eGon2035,48,battery,0.0,True,144.2635728259347,1.0,64763.66650831822,6.000000000000001,0.9797958971132711,0.9797958971132711,PV,144.26383729215263
49 battery,eGon2035,49,battery,0.0,True,38.785536929127495,1.0,64763.666508318216,6.0,0.9797958971132712,0.9797958971132712,PV,38.78585980922289
5 battery,eGon2035,5,battery,0.0,True,43.497997730003334,1.0,64763.666508318216,6.0,0.9797958971132713,0.9797958971132713,PV,43.4991511083178
50 battery,eGon2035,50,battery,0.0,True,174.35218986737493,1.0,64763.666508318216,6.0,0.9797958971132712,0.9797958971132712,PV,174.35341901729518
51 battery,eGon2035,51,battery,0.0,True,563.7151348391691,1.0,64763.666508318216,6.0,0.9797958971132712,0.9797958971132712,PV,563.715391650343
52 battery,eGon2035,52,battery,0.0,True,469.07711859022294,1.0,64763.666508318216,6.0,0.9797958971132712,0.9797958971132712,PV,469.0778217585262
53 battery,eGon2035,53,battery,0.0,True,216.29171798202594,1.0,64763.666508318216,6.0,0.9797958971132712,0.9797958971132712,PV,216.29298070800934
54 battery,eGon2035,54,battery,0.0,True,311.402269996357,1.0,64763.666508318216,6.000000000000001,0.9797958971132712,0.9797958971132712,PV,311.4029018195082
