AC ID,Heat ID,Distance to Heat [km],Point Heat
31275,49989,4.519,POINT (1024500.8925193253 6255645.48190171)
31277,51346,1.29,POINT (764243.4008611386 6743275.832587358)
31281,51666,1.649,POINT (1511206.030761166 6923065.282645109)
31282,49933,1.37,POINT (1135857.0825037595 6337105.901221915)
31283,49933,9.852,POINT (1135857.0825037595 6337105.901221915)
31285,51362,4.096,POINT (971406.1533616272 6755691.93565249)
31287,51370,2.157,POINT (981541.3235888674 6761069.5591025865)
31289,50869,2.564,POINT (689947.1035694807 6607364.843637201)
31295,49877,1.577,POINT (1043765.9631767404 6219633.769687609)
31296,49877,2.915,POINT (1043765.9631767404 6219633.769687609)
31301,50377,4.051,POINT (1210938.7115585282 6429082.445757679)
31302,49887,1.757,POINT (1076343.7634759431 6224587.1857120935)
31303,51294,3.098,POINT (931917.5456183441 6783970.352551232)
31306,49896,1.709,POINT (1065489.4423245138 6225774.770472942)
31308,49791,4.415,POINT (1079748.622380056 6188945.94968177)
31310,50756,1.561,POINT (1138860.002244696 6587438.3954289155)
31311,51584,12.47,POINT (1096080.417806597 6878438.548712363)
31317,51517,3.931,POINT (1293958.274900623 6845425.545430084)
31324,51452,6.707,POINT (951813.3639620806 6813534.365304569)
31325,49817,31.417,POINT (1187744.8371740903 6200721.698841924)
31327,49560,2.657,POINT (1302148.1942253169 6087246.98918912)
31330,49956,2.191,POINT (1032758.8622765036 6242507.388483896)
31331,50789,11.868,POINT (721322.5811297907 6586981.79242582)
31339,50750,6.278,POINT (1148164.5822253923 6584897.437351047)
31340,50725,2.076,POINT (1165108.1673279165 6572068.676830023)
31341,51406,13.997,POINT (944292.1683995536 6780264.663832043)
31343,50726,7.397,POINT (787329.5135273868 6564677.334782635)
31345,50823,4.053,POINT (707694.6936093703 6593379.067261968)
31349,50712,4.019,POINT (796561.0708706504 6561805.059365214)
31356,50789,1.225,POINT (721322.5811297907 6586981.79242582)
31357,50891,4.756,POINT (739020.8048337122 6613001.013593568)
31359,50808,1.989,POINT (802941.6394457046 6593783.419300535)
31360,51425,4.945,POINT (956342.6110668118 6791307.013054556)
31366,51639,3.551,POINT (1318777.8183712454 6909651.391755993)
31367,51018,2.358,POINT (772337.2619730413 6650645.27657715)
31368,51960,10.751,POINT (1127157.4175276877 7232702.705979944)
31370,50390,1.268,POINT (1288500.1004518513 6436778.620317844)
31371,51422,21.648,POINT (848148.5794438067 6793932.466252147)
31372,51635,3.543,POINT (1444138.683422568 6901270.059094706)
31379,51608,1.273,POINT (1313379.7707457587 6879097.416478226)
31380,49910,0.777,POINT (1479609.8450384533 6220712.886132595)
31381,49615,4.287,POINT (1181315.0722304995 6114198.480569382)
31382,51533,1.229,POINT (1164195.6002249117 6852326.702255321)
31384,51138,1.932,POINT (774984.1130238635 6678846.627786399)
31389,49831,5.122,POINT (986242.0591970924 6206434.108989683)
31391,49682,4.344,POINT (1299988.2794330006 6144022.500625921)
31392,50133,1.174,POINT (1275705.427437995 6321459.887110701)
31397,49920,5.906,POINT (987512.561699693 6232539.129739575)
31398,49867,3.015,POINT (1065544.420902752 6216068.088594267)
31399,49844,1.869,POINT (1062108.4680408412 6209834.505938942)
31401,50499,2.085,POINT (907116.6925308313 6469696.102136576)
31403,50309,14.629,POINT (1206191.1209725589 6381098.241740999)
31406,51649,3.299,POINT (1025942.2593159595 6917657.888662905)
31410,50128,4.952,POINT (760932.7470293653 6310013.069641274)
31411,51490,10.454,POINT (974455.5329568132 6832398.661113024)
31412,51435,7.411,POINT (950849.096780536 6805398.687627251)
31414,51599,4.252,POINT (1010307.4598485704 6893040.069773061)
31415,50538,1.187,POINT (966403.1657961594 6485519.494513983)
31416,51604,2.424,POINT (1114831.8169819354 6879816.124692511)
31417,51562,7.22,POINT (1438495.0735213084 6869734.566058574)
31423,49623,17.576,POINT (942770.9397902316 6117269.261415397)
31424,51612,2.551,POINT (1026626.6908876745 6885016.2482635435)
31426,51604,12.414,POINT (1114831.8169819354 6879816.124692511)
31428,51563,17.106,POINT (1199589.7638539036 6863484.04637431)
31429,51888,5.881,POINT (1111083.5444464865 7131775.927709752)
31431,50452,1.072,POINT (903171.6246323899 6451262.880564027)
31432,50360,1.719,POINT (1018911.6068222402 6416101.96440408)
31433,51594,3.27,POINT (1051756.874860751 6876055.272791732)
31435,51598,16.983,POINT (1050971.1068951471 6893126.790399791)
31437,51598,3.478,POINT (1050971.1068951471 6893126.790399791)
31438,51587,6.642,POINT (1353656.6171103644 6872720.905156498)
31439,50049,11.644,POINT (1275514.9302772558 6280176.352446971)
31441,50245,19.257,POINT (1272467.9554070479 6360338.240933071)
31443,51472,4.131,POINT (1172761.3609222316 6829245.45773351)
31444,50822,11.753,POINT (893578.0212060803 6598960.515009258)
31445,51648,6.675,POINT (1122427.580887493 6913742.706953455)
31446,51644,15.947,POINT (1119398.5310500662 6911507.419295451)
31447,50993,4.963,POINT (1620682.4470399995 6632508.501561044)
31451,51418,6.12,POINT (988039.2648602072 6789879.606431382)
31458,51721,19.529,POINT (1174852.1401696224 6978118.768771988)
31460,50366,1.48,POINT (959899.1101069119 6419861.959700238)
31461,50366,4.559,POINT (959899.1101069119 6419861.959700238)
31462,50328,14.286,POINT (1230762.445722039 6399831.845106606)
31463,51555,1.994,POINT (1023492.978430938 6859974.944051812)
31464,51521,3.022,POINT (1005021.9278910146 6846991.735403798)
31465,51478,6.313,POINT (993386.5587032335 6828949.181018971)
31470,51088,0.856,POINT (987404.6340995225 6670979.940584559)
31471,51302,16.46,POINT (725961.1672899885 6725401.810158506)
31472,51787,1.528,POINT (910064.7156760157 7032343.59390221)
31473,50868,1.125,POINT (759626.8921595664 6607143.953035073)
