AC ID,Heat ID,Distance to Heat [km],Point Heat
31995,51819,6.389,POINT (801879.7799637684 7093507.73059549)
31996,51759,26.608,POINT (810289.8640620039 7079892.005172613)
31997,51819,3.593,POINT (801879.7799637684 7093507.73059549)
31998,51759,3.06,POINT (810289.8640620039 7079892.005172613)
32000,51835,1.229,POINT (832275.3250461633 7070468.18169589)
32001,51793,17.108,POINT (835551.7088393727 7039242.919072312)
32005,50882,0.626,POINT (803201.8442266606 6612049.705959163)
32006,52018,1.014,POINT (1501025.7608926238 6872552.453987693)
32009,51708,0.889,POINT (1067362.4779333915 6980998.990338275)
32010,51724,2.695,POINT (1096510.4051240939 6981137.507193533)
32011,49543,14.911,POINT (848723.1332023762 6075174.520466445)
32014,51761,2.166,POINT (818045.8824923328 7013287.473117158)
32016,51761,12.655,POINT (818045.8824923328 7013287.473117158)
32017,51193,9.131,POINT (740973.1444221252 6691460.30546398)
32018,50228,0.748,POINT (1249720.8090051182 6355510.358906514)
32021,49834,5.994,POINT (1244733.2507501077 6229561.630800273)
32025,51372,4.491,POINT (956474.9247481194 6760752.701653405)
32026,51319,1.38,POINT (956695.8468323499 6740886.263089093)
32027,50987,5.8,POINT (1517704.8727277718 6636713.287381419)
32028,49894,2.866,POINT (1041048.948984699 6228431.805462929)
32029,49894,2.383,POINT (1041048.948984699 6228431.805462929)
32031,51494,3.556,POINT (1053524.368243575 6836142.819482423)
32032,51899,21.744,POINT (965934.0598574844 7143479.231123747)
32033,51784,18.348,POINT (883435.868602002 7031711.883020887)
32035,51841,2.181,POINT (948168.926651083 7078261.494769972)
32036,51550,7.479,POINT (903946.6963125713 6855475.325399133)
32038,51820,12.938,POINT (1059452.9827583684 7067775.20105375)
32040,51431,0.808,POINT (1093344.671729671 6797799.312668417)
32041,50954,2.298,POINT (1185307.6984584492 6640859.620447319)
32042,51033,2.946,POINT (1164815.3544499823 6658907.100421468)
32043,50862,7.881,POINT (1228470.2473730855 6617971.913632821)
32044,50246,2.561,POINT (1255881.7470517093 6361015.240399186)
32045,51830,19.797,POINT (904536.8191810454 7081054.725118739)
32050,51403,3.202,POINT (1230601.9921711625 6781290.509341922)
32051,50484,11.255,POINT (1274574.7163363819 6465190.164786561)
32053,51723,25.44,POINT (1242539.6029172076 6978762.8313318025)
32054,51713,6.874,POINT (1178633.024836754 6966252.942800061)
32056,49791,1.189,POINT (1079748.622380056 6188945.94968177)
32058,49702,0.456,POINT (1081625.2536466152 6155093.157213827)
32059,51317,10.247,POINT (928566.0719565009 6739245.3305024095)
32060,51736,9.886,POINT (856110.1909451971 7002580.068232273)
32063,51726,7.608,POINT (1006842.2331460554 6986040.132071587)
32064,51425,7.217,POINT (956342.6110668118 6791307.013054556)
32065,49821,0.879,POINT (1348052.167241253 6198673.540711547)
32067,50268,1.791,POINT (768800.2752850013 6364494.149434788)
32072,49740,2.529,POINT (1317387.866719962 6165286.749118754)
32073,49818,0.414,POINT (1099217.786560173 6201957.421823032)
32074,49794,13.591,POINT (1082029.2766029073 6189660.179569373)
32075,51916,1.807,POINT (1147134.5556722414 7158175.431235497)
32079,51768,36.388,POINT (1160063.8674313917 7027862.22036265)
32080,51398,11.932,POINT (924540.1130921104 6774155.6824805755)
32081,50474,1.882,POINT (943419.5624601538 6461297.735627108)
32083,51305,3.009,POINT (947155.6133423779 6735158.41023933)
32084,50611,5.04,POINT (1214750.4259864474 6517796.739389254)
32087,49947,15.582,POINT (911687.4986500698 6238558.583265486)
32091,49784,7.641,POINT (1328550.0403261431 6184883.262100024)
32094,51447,16.525,POINT (907867.3073576378 6807195.097019478)
32095,51406,7.073,POINT (944292.1683995536 6780264.663832043)
32096,51448,4.627,POINT (930396.5600036022 6810412.861016739)
32102,51649,3.518,POINT (1025942.2593159595 6917657.888662905)
32106,50745,2.946,POINT (976305.040451567 6586590.497782102)
32107,50616,13.748,POINT (1194341.7071237108 6520701.520108461)
32109,51748,13.417,POINT (1435841.195630111 7001150.749214121)
32112,51981,8.853,POINT (1514149.5308388278 7247470.398522855)
32113,51974,15.645,POINT (1500842.8866489478 7236782.060979169)
32114,51939,3.176,POINT (1492383.8169990915 7186527.759330235)
32115,51936,3.181,POINT (1347061.3235320672 7191538.81310425)
32117,50725,10.961,POINT (1165108.1673279165 6572068.676830023)
32118,50673,5.114,POINT (1190909.9567338633 6553213.723099148)
32119,50878,3.07,POINT (1240852.5116801634 6616010.178838765)
32120,51137,6.11,POINT (1211145.0490530226 6686403.772842544)
32122,51929,2.469,POINT (1531963.6010915064 7179942.279102311)
32126,50577,10.921,POINT (754369.3993035645 6492789.582551537)
32127,49849,2.734,POINT (1494918.4856946652 6202448.082840016)
32131,51921,1.444,POINT (1313103.6225097592 7185035.37624466)
32132,50956,1.005,POINT (691134.4913093664 6631806.741253353)
32133,50941,12.7,POINT (1056236.5269574905 6636862.399304363)
32135,50953,11.846,POINT (1230395.6770949662 6638499.907440752)
32137,50756,17.673,POINT (1138860.002244696 6587438.3954289155)
32139,51887,25.114,POINT (1355693.456118007 7130641.865622942)
32142,52004,2.881,POINT (928708.6741730634 7342339.278686735)
32143,50580,29.466,POINT (1090691.0994293857 6500905.856882211)
32144,51587,20.471,POINT (1353656.6171103644 6872720.905156498)
32146,51530,3.226,POINT (1319006.792724102 6849125.59212269)
32148,50239,0.469,POINT (1158748.5049072178 6359453.537368069)
32149,51404,7.012,POINT (1132841.1264918742 6780455.051864364)
32154,50330,4.865,POINT (1131183.2053119089 6401046.934733409)
32155,50144,9.343,POINT (1160128.6927938536 6318083.784606296)
32157,50010,3.906,POINT (935164.1051242924 6265285.900382259)
32160,51624,1.83,POINT (1268762.25565155 6895180.405884614)
32161,51345,1.73,POINT (1140808.3707800873 6751131.476898399)
32164,49474,10.616,POINT (1236695.3018226963 6023218.963214143)
32165,51170,16.149,POINT (1013779.9629338938 6692159.378134384)
32169,51308,0.966,POINT (1150690.541062024 6737987.652328608)
32171,50905,8.516,POINT (681171.2000599342 6614978.049367801)
32173,51965,2.54,POINT (1082890.968862488 7229698.735694666)
32174,49681,7.323,POINT (1099866.5581742544 6144563.515791292)
32175,49625,2.41,POINT (1109238.8006942847 6117964.983710245)
32176,49627,1.756,POINT (1127901.8945873939 6119234.395418501)
32177,49681,22.619,POINT (1099866.5581742544 6144563.515791292)
32179,49725,4.071,POINT (1100814.9947644938 6161645.9735296015)
32182,49573,4.335,POINT (1086470.5634575663 6094906.861920072)
32183,49688,11.793,POINT (1084302.0953148543 6148859.445133251)
32184,49743,1.585,POINT (1083680.9367081525 6169438.937838644)
32185,49752,3.325,POINT (1089069.9560877173 6175791.467777641)
32188,49928,5.561,POINT (928114.7683792948 6235512.124286445)
32190,50044,11.82,POINT (933993.2218072567 6276563.961647803)
32191,50074,4.146,POINT (935264.9533316459 6290065.242556067)
32192,50074,8.49,POINT (935264.9533316459 6290065.242556067)
32193,50087,0.937,POINT (956378.6104708621 6295767.981385436)
32194,49556,4.666,POINT (1336707.9366532038 6084377.602442736)
32195,50520,6.159,POINT (1016747.9960076009 6481805.790404712)
32196,49526,21.858,POINT (1265237.6574312814 6067193.574457833)
32197,50969,14.217,POINT (1018907.478599571 6642969.135612887)
32200,51170,12.886,POINT (1013779.9629338938 6692159.378134384)
32202,50683,2.91,POINT (804461.8553152358 6557579.945975579)
32204,49623,3.196,POINT (942770.9397902316 6117269.261415397)
32206,49985,5.372,POINT (1125405.1141687718 6252122.585786594)
32209,50354,14.798,POINT (744455.8458516564 6403433.840598956)
32211,49624,1.986,POINT (949761.5949908381 6116747.878969023)
32212,50137,9.64,POINT (1187328.8587195636 6325248.012985628)
32213,49943,1.067,POINT (1489251.8287183205 6231083.888857431)
32214,49937,5.119,POINT (1496434.2648313479 6237439.733841845)
32215,49980,1.979,POINT (1507846.834159248 6242094.500865367)
32216,49954,4.451,POINT (1491317.8911487656 6250920.469168368)
32223,50470,3.209,POINT (999976.0771644072 6460569.110148539)
32227,51272,9.493,POINT (1131103.6398052296 6725839.143411411)
32232,51366,2.505,POINT (896064.1267817663 6757094.270675557)
32233,51379,1.076,POINT (891791.3091664457 6762963.581356753)
32234,51363,0.949,POINT (880456.6529602366 6755971.839367967)
32235,51447,2.964,POINT (907867.3073576378 6807195.097019478)
32236,50580,20.514,POINT (1090691.0994293857 6500905.856882211)
32241,51397,23.427,POINT (873915.8043224725 6772493.7502197)
32242,51379,5.575,POINT (891791.3091664457 6762963.581356753)
32244,51401,1.815,POINT (995846.1840686921 6777123.553443181)
32245,51243,26.275,POINT (1016760.1930346574 6710740.783422855)
32246,51243,4.219,POINT (1016760.1930346574 6710740.783422855)
32247,51338,22.19,POINT (976232.7605127903 6746728.016444651)
32248,51170,29.624,POINT (1013779.9629338938 6692159.378134384)
32249,51181,24.93,POINT (957597.1090690884 6693762.323917182)
32250,51305,16.256,POINT (947155.6133423779 6735158.41023933)
32251,51365,18.304,POINT (1044351.9935030288 6759712.193155873)
32253,51356,4.732,POINT (1003854.0015576016 6752639.549971049)
32255,51365,1.374,POINT (1044351.9935030288 6759712.193155873)
32256,49841,18.959,POINT (870078.5212817675 6205320.512329454)
32257,51379,15.008,POINT (891791.3091664457 6762963.581356753)
32258,51446,2.876,POINT (983010.2869421908 6806475.571321943)
32259,49724,4.606,POINT (992194.6804278293 6159706.682096985)
32261,51181,10.98,POINT (957597.1090690884 6693762.323917182)
32264,51172,2.307,POINT (954118.5636711321 6691609.488856542)
32267,51204,14.429,POINT (886844.2105020414 6700121.175332195)
32268,51204,9.709,POINT (886844.2105020414 6700121.175332195)
32272,51220,0.324,POINT (886475.0856842145 6701877.462857933)
32274,51251,4.226,POINT (855245.816343472 6717738.47252974)
32280,51460,5.12,POINT (777634.4730923477 6813537.795624098)
32283,51764,13.698,POINT (953572.7395929203 7017862.625883528)
32284,50267,0.695,POINT (1226863.2638076392 6375391.827214002)
32285,51870,3.149,POINT (1141212.9550183518 7113556.582802484)
32286,50117,24.929,POINT (1274614.2174343367 6312482.457171726)
32289,51359,2.238,POINT (1230063.2712982188 6755124.643783283)
32294,51723,0.655,POINT (1242539.6029172076 6978762.8313318025)
32296,50013,0.289,POINT (985284.9682015481 6267186.2135991575)
32297,51542,2.859,POINT (1139878.1516622412 6858460.699876346)
32298,49568,2.332,POINT (1272233.770404253 6092091.81063063)
32300,49682,1.954,POINT (1299988.2794330006 6144022.500625921)
32301,49967,1.867,POINT (1009583.1549362808 6244856.134711583)
32303,49989,2.439,POINT (1024500.8925193253 6255645.48190171)
32304,50039,2.646,POINT (960759.4593144001 6268156.369404115)
32305,50050,3.849,POINT (969642.6130738031 6281108.141571396)
32306,50001,4.191,POINT (1011106.2287462149 6258803.628835035)
32310,49979,15.732,POINT (947914.0388902235 6248938.5706252875)
32312,51635,16.426,POINT (1444138.683422568 6901270.059094706)
32313,49992,3.593,POINT (968398.8186062664 6255905.514144244)
32314,49522,5.003,POINT (1433301.4352803724 6060946.162209931)
32317,49738,3.442,POINT (1112324.5539978642 6173368.466134478)
32318,49727,19.62,POINT (1110328.41438729 6165577.260477622)
32319,51232,3.267,POINT (1142831.826862725 6711974.632752981)
32320,49647,14.947,POINT (1187832.2803376662 6125611.201324858)
32321,51665,0.808,POINT (888516.2911640214 7004298.647596444)
32322,51638,5.626,POINT (1479489.6795141425 6900937.548039138)
32327,51891,3.877,POINT (1049759.0485583963 7132183.977611513)
32328,49696,1.298,POINT (1292562.4310024339 6148926.434079853)
32329,49952,12.452,POINT (1060674.4675100532 6242175.866014083)
32333,51117,1.006,POINT (761244.5609172654 6673598.396070033)
32334,49984,1.732,POINT (1029700.0956898044 6251476.93142885)
32338,49978,1.191,POINT (1352255.1675655441 6245896.130633974)
32350,50159,3.34,POINT (952675.4454738878 6329304.433867958)
32356,50159,12.296,POINT (952675.4454738878 6329304.433867958)
32358,50050,14.195,POINT (969642.6130738031 6281108.141571396)
32359,50140,2.985,POINT (968362.4946818684 6325297.737865178)
32377,49763,2.704,POINT (1029645.61586786 6180834.09220867)
32384,51613,5.173,POINT (1083527.2632669385 6887612.642498815)
32385,49987,10.452,POINT (912885.9246659137 6251047.139755397)
32386,49987,1.972,POINT (912885.9246659137 6251047.139755397)
32391,49952,2.146,POINT (1060674.4675100532 6242175.866014083)
32393,51909,2.651,POINT (1098991.795467575 7152792.176044268)
32394,49834,1.972,POINT (1244733.2507501077 6229561.630800273)
32395,50172,16.946,POINT (1226425.167464388 6330865.56581401)
32396,50172,3.898,POINT (1226425.167464388 6330865.56581401)
32398,50757,11.742,POINT (801643.4750984048 6583526.909886704)
32399,50671,0.409,POINT (805986.5652802669 6542047.687121018)
32400,50873,1.471,POINT (842208.1735804864 6611697.3284220155)
32403,50990,23.912,POINT (1460618.4579981049 6643599.050573743)
32405,50346,3.144,POINT (1228069.3109480583 6406067.645271752)
32406,50495,17.419,POINT (1208099.3094290795 6470579.666348344)
32411,49527,13.807,POINT (1286970.625737354 6067328.128241049)
32413,49517,5.565,POINT (1308674.9116700573 6058376.982352508)
32418,49960,1.192,POINT (1044865.5297294381 6242413.79477105)
32420,49959,3.394,POINT (1037992.5126219216 6246144.700090617)
32421,49959,0.466,POINT (1037992.5126219216 6246144.700090617)
32422,49523,1.051,POINT (1287536.8075664083 6065259.351259332)
32427,51741,7.323,POINT (974542.4595987276 6999529.253542669)
32432,49790,2.924,POINT (1030625.5024795125 6188295.48367572)
32435,51706,64.942,POINT (814774.8639614034 6957848.181025979)
32449,51706,71.113,POINT (814774.8639614034 6957848.181025979)
32451,51460,73.815,POINT (777634.4730923477 6813537.795624098)
32452,51706,22.143,POINT (814774.8639614034 6957848.181025979)
32454,51706,26.342,POINT (814774.8639614034 6957848.181025979)
32455,51675,29.285,POINT (861875.7060701931 6933684.1975505985)
32456,51673,9.813,POINT (894100.7331247828 6932915.557169389)
32460,51736,2.484,POINT (856110.1909451971 7002580.068232273)
32463,49859,10.015,POINT (1522267.641262295 6202867.478437982)
32466,51466,3.623,POINT (1465649.7651218136 6816945.592250117)
32467,51466,18.475,POINT (1465649.7651218136 6816945.592250117)
32469,51464,26.079,POINT (1504622.3506014145 6812947.596352963)
32470,51935,2.049,POINT (1387782.5799870023 7176023.186461148)
32471,51935,25.82,POINT (1387782.5799870023 7176023.186461148)
32474,51903,0.97,POINT (1332209.2556426995 7140517.5701499535)
32475,50584,5.497,POINT (1326853.9664446872 6501390.282385209)
32476,50617,0.735,POINT (898322.8557709358 6517556.207916649)
32480,50205,5.6,POINT (1345714.795149674 6344048.413260397)
32484,49660,2.37,POINT (1251193.536353383 6135839.562806675)
32486,49759,21.856,POINT (1209851.371943212 6178324.779409446)
32487,50495,9.417,POINT (1208099.3094290795 6470579.666348344)
32488,50412,5.688,POINT (919028.7367102047 6446348.817881007)
32490,49919,9.611,POINT (1272917.5012896738 6231793.100653223)
32491,50048,3.836,POINT (1343019.5903970636 6271380.520504437)
32495,50216,19.245,POINT (1320128.4365655214 6349801.318887287)
32497,51780,2.976,POINT (1032816.0575677755 7037598.825564061)
32498,51894,34.173,POINT (989269.7937412594 7133362.285450776)
32499,49996,14.039,POINT (1061602.9215786606 6255470.592673378)
32506,51212,2.593,POINT (853787.0006338315 6696882.965024444)
32507,50130,0.932,POINT (783234.6662770928 6310936.438845139)
32510,51844,2.648,POINT (1411706.2956164463 7079341.887291117)
32511,50603,16.054,POINT (1312157.4615740664 6510659.542648196)
32512,51460,51.865,POINT (777634.4730923477 6813537.795624098)
32513,50898,1.343,POINT (836912.3020677093 6618354.169855725)
32518,51240,3.435,POINT (829407.9832591893 6713454.68645192)
32521,50137,4.44,POINT (1187328.8587195636 6325248.012985628)
32524,51298,14.765,POINT (1280801.1856399833 6737254.494508991)
32526,50772,4.854,POINT (1165848.353954615 6783639.021874715)
32529,50763,18.672,POINT (952313.4143410599 6596688.541613214)
32537,50155,18.68,POINT (798960.0272402444 6321685.049952185)
32540,51177,2.002,POINT (863741.9880083377 6690776.4141561305)
32542,49929,1.572,POINT (1124627.7698102158 6238206.994674722)
32543,49833,3.152,POINT (1130963.6795332488 6226805.208358483)
32544,49784,1.828,POINT (1328550.0403261431 6184883.262100024)
32548,49801,2.978,POINT (1338594.2139017687 6188957.439857182)
32550,51693,16.227,POINT (1500914.3481340182 6945041.406657026)
32551,49811,15.776,POINT (899240.4577312267 6195540.146292602)
32552,51626,1.469,POINT (1374110.45412337 6896776.626170021)
32555,51847,2.422,POINT (1558476.0701960034 7077097.200588462)
32556,51847,25.865,POINT (1558476.0701960034 7077097.200588462)
32557,51581,7.367,POINT (1420312.501306347 6865533.907329902)
32562,50413,5.851,POINT (809394.6166559852 6437129.9186625695)
32566,51479,6.952,POINT (1402468.3939658797 6826007.469046732)
32570,49680,5.965,POINT (1277921.2636461284 6143202.326414491)
32573,51172,21.295,POINT (954118.5636711321 6691609.488856542)
32574,49565,2.972,POINT (1324360.6827847331 6086924.454087847)
32577,50432,1.407,POINT (839818.5308212449 6443202.894891133)
32579,50047,1.993,POINT (1088025.1285959827 6274421.699797425)
32588,50072,2.879,POINT (1446959.012473425 6279858.395214691)
32592,50933,0.835,POINT (980042.6460725088 6632306.998741572)
32593,50056,13.333,POINT (1076687.0682413918 6276210.4450079305)
32595,50955,8.777,POINT (1662089.6300921065 6623768.7008594405)
32602,50105,1.138,POINT (1027120.5582084904 6307912.752030206)
32619,51913,9.285,POINT (1059165.2060132353 7158145.107858617)
32622,49817,23.974,POINT (1187744.8371740903 6200721.698841924)
32623,51920,2.405,POINT (1003083.0097571282 7160885.686369205)
32624,51938,21.867,POINT (1009533.8209752456 7186875.043669145)
32625,49988,4.603,POINT (1397312.354823164 6252732.825708978)
32627,51062,1.932,POINT (1097378.672315994 6682174.529999505)
32628,49969,1.913,POINT (1434334.588726872 6240633.485237007)
32629,51535,49.751,POINT (858829.0828984082 6850532.832814994)
32630,49489,5.683,POINT (1347245.642737794 6064219.238368541)
32631,49498,1.031,POINT (846873.1880584834 6042544.188862596)
32632,50376,0.921,POINT (1311365.1431237066 6423055.979810701)
32633,50331,1.236,POINT (1324926.1784190012 6398549.46588234)
32634,51702,23.715,POINT (895005.0135747622 6954325.927384653)
32638,51013,4.656,POINT (1602060.2302248708 6639062.842880913)
32640,51702,4.395,POINT (895005.0135747622 6954325.927384653)
32641,51739,20.691,POINT (912338.5833577252 6994930.25449389)
32643,51830,5.918,POINT (904536.8191810454 7081054.725118739)
32647,51816,0.841,POINT (860318.8620807502 7059132.7700754665)
32648,51675,2.802,POINT (861875.7060701931 6933684.1975505985)
32650,50401,3.975,POINT (1018758.965954272 6442369.363293835)
32653,51702,22.108,POINT (895005.0135747622 6954325.927384653)
32654,51733,3.11,POINT (874018.9506176983 6987559.633773929)
32656,50402,1.024,POINT (1290805.6855998053 6438563.703292967)
32658,51928,1.444,POINT (1299606.5869826372 7176111.976066006)
32659,49918,5.456,POINT (1294618.3726645727 6230960.644576279)
32660,50858,5.754,POINT (1118502.00148431 6613198.492257839)
32661,50874,4.311,POINT (1148199.5940150234 6618932.41279215)
32664,51383,1.919,POINT (1095679.1831989815 6767265.839107984)
32665,50797,1.372,POINT (1090023.0101444796 6616208.594429832)
32666,50787,6.647,POINT (759156.3903387779 6587545.382651827)
32670,51960,8.65,POINT (1127157.4175276877 7232702.705979944)
32672,49759,11.646,POINT (1209851.371943212 6178324.779409446)
32673,51121,2.501,POINT (1506731.18148238 6672869.367159566)
32674,50603,12.632,POINT (1312157.4615740664 6510659.542648196)
32676,51774,2.818,POINT (830090.8601325516 7025345.0799126895)
32677,51127,3.589,POINT (1476312.014666938 6676262.606397866)
32678,51217,1.591,POINT (787827.7582698093 6697474.202462781)
32681,51182,1.373,POINT (799270.5574773903 6690140.60289389)
32685,50779,4.443,POINT (1345168.354565462 6588312.665976047)
32689,51951,1.754,POINT (1117564.8686653126 7203722.177469674)
32690,49913,2.228,POINT (1356519.4841801587 6228213.628919908)
32691,51593,2.075,POINT (1381276.4459005275 6871949.307511017)
32692,49656,4.43,POINT (959245.962409458 6134268.870130782)
32693,51955,15.071,POINT (1012301.5743621608 7207268.61376942)
32694,51918,1.974,POINT (1136412.1124931294 7161351.299250457)
32697,51955,2.267,POINT (1012301.5743621608 7207268.61376942)
32701,50284,0.528,POINT (1342729.09010492 6383366.396586897)
32702,51132,8.283,POINT (1399719.6517482868 6680092.393494053)
32706,50822,2.812,POINT (893578.0212060803 6598960.515009258)
32707,50439,2.772,POINT (768368.663985643 6443123.243957236)
32711,50189,4.885,POINT (1290724.798877392 6337174.408800986)
32712,51686,12.064,POINT (1447749.474113796 6937882.833706863)
32717,50932,4.131,POINT (1105889.1717796074 6633873.356119365)
32723,51975,15.965,POINT (1110775.440681745 7247198.381048161)
32724,50214,7.724,POINT (768432.0544502614 6343838.052167332)
32725,50677,11.993,POINT (982753.1488441445 6551338.04392426)
32726,51933,4.989,POINT (1111664.7243757297 7184565.005326711)
32728,51356,8.861,POINT (1003854.0015576016 6752639.549971049)
32732,51933,2.731,POINT (1111664.7243757297 7184565.005326711)
32733,51535,31.46,POINT (858829.0828984082 6850532.832814994)
32736,52011,3.462,POINT (772126.5007759685 6714961.985323808)
32738,49774,0.677,POINT (937222.2484570104 6184601.367954992)
32739,50470,7.599,POINT (999976.0771644072 6460569.110148539)
32740,51639,17.365,POINT (1318777.8183712454 6909651.391755993)
32741,51793,6.207,POINT (835551.7088393727 7039242.919072312)
32742,51950,2.112,POINT (1097195.9649380296 7200923.960490496)
32744,51546,2.573,POINT (1042030.1916002121 6856478.9904571045)
32745,51568,9.072,POINT (1033212.617976966 6865074.074157446)
32746,51803,4.834,POINT (1543395.5940297176 7041816.65771651)
32749,49951,0.855,POINT (1281247.839127672 6239679.663923242)
32750,49928,1.334,POINT (928114.7683792948 6235512.124286445)
32752,49836,9.641,POINT (1293977.6148438912 6207885.990758953)
32755,51156,2.331,POINT (1650583.6609630752 6673306.7685867455)
32756,51881,0.965,POINT (1567887.043849952 7109171.578960498)
32757,51912,2.365,POINT (1203411.792792166 7152964.427863965)
32760,51914,3.327,POINT (1194928.8506907902 7154597.111429682)
32762,51464,1.924,POINT (1504622.3506014145 6812947.596352963)
32764,50849,3.644,POINT (1190809.199187119 6611871.071317348)
32776,50689,11.048,POINT (697723.1801153858 6546852.389519875)
32777,49813,2.048,POINT (1352466.178676085 6197198.862319386)
32781,49851,1.034,POINT (1368460.7236868434 6207828.344017361)
32791,49901,3.551,POINT (1413794.044772088 6221602.184940848)
32794,51738,2.315,POINT (1557181.6213569783 6985704.680276531)
32795,51738,10.614,POINT (1557181.6213569783 6985704.680276531)
32796,51985,6.842,POINT (1060378.1048497688 7264822.673658354)
32797,51819,13.329,POINT (801879.7799637684 7093507.73059549)
32799,51720,19.089,POINT (1379411.9260137605 6972981.16794089)
32803,51364,2.71,POINT (799947.2589304743 6754007.286466274)
32804,50871,3.653,POINT (708212.2428954685 6608384.969129198)
32805,50349,4.032,POINT (841987.2684869025 6475052.59644289)
32806,49608,1.266,POINT (1208415.4726720015 6117774.798138548)
32812,51460,31.372,POINT (777634.4730923477 6813537.795624098)
32813,50170,5.034,POINT (752239.0439219663 6329115.331315126)
32816,50734,2.575,POINT (789512.3575033186 6572899.0843653325)
32818,51940,1.733,POINT (1181964.3036807552 7195248.499220841)
32821,51501,1.174,POINT (928278.5206898152 6837323.654021739)
32822,50426,4.884,POINT (1023820.882725014 6446917.578445191)
32824,51465,3.243,POINT (911800.2083909506 6820058.733767943)
32828,50384,1.708,POINT (1015632.2184961104 6431905.605748267)
32830,51388,1.443,POINT (1442952.8259483862 6763206.170696142)
32831,49722,3.048,POINT (1297213.8822110635 6158930.065648663)
32832,50381,12.562,POINT (913936.3702029982 6429622.666514815)
32835,51990,5.013,POINT (1508291.6706627756 7271218.54770204)
32836,51242,8.856,POINT (1621467.173318301 6695443.297391212)
32837,51185,3.571,POINT (779472.4632627789 6690232.183121119)
32839,51343,2.682,POINT (863099.3674298907 6745841.776553822)
32840,50965,1.186,POINT (767828.339792534 6636718.894994846)
32845,50063,10.955,POINT (1037795.4422290053 6278997.515267974)
32846,49591,10.561,POINT (913562.6704777464 6115346.124636659)
32847,50951,12.568,POINT (869097.9540034914 6672192.514853646)
32848,51759,7.839,POINT (810289.8640620039 7079892.005172613)
32850,49519,3.722,POINT (984493.7766833114 6067533.592705954)
32852,49734,1.917,POINT (1222877.1001897324 6166269.858466673)
32853,49759,3.557,POINT (1209851.371943212 6178324.779409446)
32854,49708,5.919,POINT (1165740.552896707 6153506.430153874)
32856,49697,8.755,POINT (1211591.4943040973 6152574.028458899)
32857,50085,2.812,POINT (1119742.5141891297 6297897.144175354)
32862,50652,0.573,POINT (813906.6324587135 6536041.745322988)
32864,50739,2.424,POINT (759592.3521842402 6567686.58197022)
32865,50747,3.235,POINT (763982.1853790397 6576201.130294749)
32867,50729,2.757,POINT (741147.9572475514 6567910.322530602)
32870,49737,4.023,POINT (980089.5915639665 6166148.573780041)
32871,50690,5.625,POINT (739489.1470412007 6548880.602526741)
32874,51945,12.264,POINT (1210371.7551276356 7212474.66373113)
32875,51932,4.412,POINT (1204324.3741205698 7191100.102641643)
32880,50773,20.576,POINT (1530715.970714578 6579999.056006696)
32881,50773,0.975,POINT (1530715.970714578 6579999.056006696)
32884,49671,5.718,POINT (974355.2703742052 6140466.119735398)
32885,51090,3.172,POINT (775788.8723005177 6665203.822936275)
32889,49810,3.662,POINT (971230.7746041084 6198409.239680242)
32890,51927,5.171,POINT (1136933.9536088097 7177491.743170788)
32892,50628,0.575,POINT (827226.950834856 6521810.025266921)
32893,51852,6.734,POINT (1274687.5557722705 7093973.350736941)
32894,51980,2.107,POINT (1045503.1845925461 7297329.168454733)
32898,52000,8.374,POINT (1050466.6107758598 7321665.819249108)
32899,51995,9.359,POINT (1029062.1096786547 7304533.699802997)
32900,51995,4.058,POINT (1029062.1096786547 7304533.699802997)
32902,51969,2.505,POINT (1011549.5486077599 7241648.497178311)
32905,50690,6.186,POINT (739489.1470412007 6548880.602526741)
32906,50690,11.426,POINT (739489.1470412007 6548880.602526741)
32908,50566,1.639,POINT (742057.3318258788 6485031.955739117)
32909,50600,2.464,POINT (735285.1639371259 6503372.337978943)
32910,50842,13.718,POINT (743960.3593151318 6599287.703777351)
32912,51375,1.842,POINT (1219475.34675633 6764085.89234026)
32914,49580,18.776,POINT (945408.0239053972 6096558.634261061)
32918,51467,24.943,POINT (1103198.1188489923 6823145.982473592)
32919,51749,1.23,POINT (1588732.6047885125 6994415.9088491285)
32923,51705,3.475,POINT (1533918.3868732988 6952464.256694618)
32925,50921,1.672,POINT (842208.6770599427 6626089.917545766)
32926,50605,8.216,POINT (777081.059458421 6506933.341616709)
32927,50557,1.788,POINT (761354.2297566629 6482915.065073793)
32928,49723,18.971,POINT (1212232.2559317136 6167686.474158524)
32932,50057,1.9,POINT (1462087.2617254267 6269777.420768899)
32933,51937,0.522,POINT (1074336.672564255 7185723.041016426)
32935,50721,22.713,POINT (854166.0514557407 6579339.967174796)
32936,49552,10.375,POINT (1339135.6000142694 6223247.582091201)
32938,51946,5.24,POINT (997990.4606025572 7288993.630084205)
32940,49785,2.527,POINT (994833.3813526632 6186657.323885094)
32941,50728,3.738,POINT (799434.6345725883 6569659.0055288775)
32942,50918,2.206,POINT (757950.93671459 6620850.117281724)
32943,50967,0.696,POINT (682764.1877014113 6631881.812872754)
32945,50967,6.867,POINT (682764.1877014113 6631881.812872754)
32946,50992,12.966,POINT (800945.4208876918 6642214.160712049)
32949,50962,7.551,POINT (793384.1806172457 6636179.437999998)
32950,50724,1.343,POINT (850804.7986079719 6565947.831208239)
32951,50724,13.612,POINT (850804.7986079719 6565947.831208239)
32954,51898,3.466,POINT (1216864.5332097756 7143172.471669452)
