bus_id,cluster,medoid_idx
47495,66,47499
47496,66,47499
47497,66,47499
47498,66,47499
47499,66,47499
47500,66,47499
47501,66,47499
47502,66,47499
47503,66,47499
47504,79,48235
47505,79,48235
47506,27,47506
47507,27,47506
47508,66,47499
47509,66,47499
47510,12,48544
47511,8,48137
47512,29,47512
47513,11,47626
47514,11,47626
47515,61,47515
47516,61,47515
47517,47,47688
47518,61,47515
47519,61,47515
47520,61,47515
47521,48,47556
47522,61,47515
47523,61,47515
47524,24,47524
47525,86,47525
47526,67,47528
47527,17,48240
47528,67,47528
47529,67,47528
47530,67,47528
47531,3,47531
47532,3,47531
47533,3,47531
47534,56,48335
47535,74,47537
47536,74,47537
47537,74,47537
47538,74,47537
47539,3,47531
47540,3,47531
47541,20,47541
47542,3,47531
47543,3,47531
47544,3,47531
47545,10,48325
47546,61,47515
47547,61,47515
47548,61,47515
47549,11,47626
47550,33,48163
47551,33,48163
47552,55,47597
47553,20,47541
47554,20,47541
47555,20,47541
47556,48,47556
47557,9,47845
47558,20,47541
47559,20,47541
47560,20,47541
47561,44,47562
47562,44,47562
47563,21,48330
47564,21,48330
47565,77,47565
47566,64,47566
47567,61,47515
47568,33,48163
47569,61,47515
47570,61,47515
47571,61,47515
47572,61,47515
47573,76,47434
47574,7,47576
47575,7,47576
47576,7,47576
47577,25,47578
47578,25,47578
47579,25,47578
47580,39,47403
47581,39,47403
47582,39,47403
47583,39,47403
47584,39,47403
47585,39,47403
47586,39,47403
47587,39,47403
47588,70,48212
47589,39,47403
47590,39,47403
47591,39,47403
47592,39,47403
47593,70,48212
47594,70,48212
47595,70,48212
47596,55,47597
47597,55,47597
47598,70,48212
47599,70,48212
47600,0,48087
47601,0,48087
47602,18,48128
47603,18,48128
47604,70,48212
47605,34,47491
47606,34,47491
47607,70,48212
47608,70,48212
47609,70,48212
47610,46,47614
47611,46,47614
47612,46,47614
47613,46,47614
47614,46,47614
47615,34,47491
47616,34,47491
47617,0,48087
47618,46,47614
47619,73,47767
47620,62,48058
47621,72,47381
47622,62,48058
47623,72,47381
47624,61,47515
47625,11,47626
47626,11,47626
47627,62,48058
47628,13,47408
47629,9,47845
47630,19,47936
47631,33,48163
47632,52,47633
47633,52,47633
47634,52,47633
47635,52,47633
47636,5,47646
47637,5,47646
47638,41,47844
47639,58,47731
47640,52,47633
47641,53,48211
47642,53,48211
47643,53,48211
47644,53,48211
47645,53,48211
47646,5,47646
47647,5,47646
47648,5,47646
47649,53,48211
47650,5,47646
47651,53,48211
47652,53,48211
47653,53,48211
47654,60,48142
47655,60,48142
47656,60,48142
47657,40,47450
47658,40,47450
47659,60,48142
47660,5,47646
47661,1,47662
47662,1,47662
47663,1,47662
47664,1,47662
47665,1,47662
47666,81,47671
47667,1,47662
47668,1,47662
47669,1,47662
47670,1,47662
47671,81,47671
47672,51,48263
47673,54,47968
47674,54,47968
47675,54,47968
47676,54,47968
47677,54,47968
47678,51,48263
47679,16,47682
47680,51,48263
47681,16,47682
47682,16,47682
47683,16,47682
47684,47,47688
47685,16,47682
47686,16,47682
47687,47,47688
47688,47,47688
47689,47,47688
47690,47,47688
47691,47,47688
47692,47,47688
47693,47,47688
47694,50,47697
