scn_name,bus0,bus1,carrier,p_nom,p_nom_extendable,p_nom_max,capital_cost,length,type,efficiency,p_nom_min,p_min_pu,marginal_cost,p_nom_opt,country,build_year,lifetime,min_up_time,min_down_time,up_time_before,down_time_before,p_nom_mod,marginal_cost_quadratic,stand_by_cost,start_up_cost,shut_down_cost,ramp_limit_start_up,ramp_limit_shut_down,p_set,p_max_pu,terrain_factor,committable,ramp_limit_up,ramp_limit_down
eGon2035,33,80857,power_to_O2,0.007,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.0102263710232959,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,33,80861,power_to_O2,0.006,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.0091471059655332,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,33,80898,power_to_O2,0.005,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.0080760940215256,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,33,80909,power_to_O2,0.009,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.0124013595071718,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,33,80911,power_to_O2,0.006,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.0091470308364545,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,33,80917,power_to_O2,0.006,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.009146884654866,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,33,80924,power_to_O2,0.009,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.0124013294747461,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,33,80928,power_to_O2,0.004,True,inf,1214.9543378995434,0.0,,0.9,0.0,0.0,0.0,0.0070173045189082,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,33,81405,power_to_H2,0.0,True,inf,3325.4280821917805,0.0,,0.6666,0.0,0.0,0.0,0.305407327435752,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,33,81447,power_to_H2,0.0,True,inf,3301.769406392694,0.0,,0.6666,0.0,0.0,0.0,12.811492310168283,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,33,82093,central_heat_pump,0.150030357920625,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.150030357920625,,0,inf,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,33,82093,central_resistive_heater,0.4505205777016334,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,0.4505205777016334,,0,,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,33,82093,power_to_Heat,0.0,True,inf,1848.5302511415523,0.0,,0.8805,0.0,0.0,0.0,0.00586396344546,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,33,82100,power_to_Heat,0.0,True,inf,1838.5844748858449,0.0,,0.8805,0.0,0.0,0.0,0.3761241702326386,,2035,25.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,37238,dsm,44.64403353730105,False,inf,0.0,0.0,,1.0,0.0,0.0,0.0,44.64403353730105,,0,,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
eGon2035,34,48797,power_to_H2,0.0,True,inf,1372.6909325666215,0.0,,0.7,0.0,0.0,0.0,0.0127531913818629,,0,31.0,0,0,1,0,,,,,,,,0.0,1.0,1.0,False,,
