name,scn_name,bus,type,carrier,p_nom,p_nom_extendable,p_max_pu,marginal_cost,build_year,efficiency,min_up_time,min_down_time,up_time_before,down_time_before,e_nom_max,control,weight,p_nom_opt
79977 load shedding,,79977,,load shedding,88785.0,False,1.0,10000.008977842117,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79978 load shedding,,79978,,load shedding,88785.0,False,1.0,10000.00108632414,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79979 load shedding,,79979,,load shedding,88785.0,False,1.0,10000.002966035514,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79980 load shedding,,79980,,load shedding,88785.0,False,1.0,10000.004734676959,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79981 load shedding,,79981,,load shedding,88785.0,False,1.0,10000.014758890795,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79982 load shedding,,79982,,load shedding,88785.0,False,1.0,10000.002556099133,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79983 load shedding,,79983,,load shedding,88785.0,False,1.0,10000.013837409138,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79984 load shedding,,79984,,load shedding,88785.0,False,1.0,10000.004169084323,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79985 load shedding,,79985,,load shedding,88785.0,False,1.0,10000.005769905705,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79986 load shedding,,79986,,load shedding,88785.0,False,1.0,10000.008618601832,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79987 load shedding,,79987,,load shedding,88785.0,False,1.0,10000.011960103659,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79988 load shedding,,79988,,load shedding,88785.0,False,1.0,10000.00453936443,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79989 load shedding,,79989,,load shedding,88785.0,False,1.0,10000.001076273198,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79990 load shedding,,79990,,load shedding,88785.0,False,1.0,10000.005361506155,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79991 load shedding,,79991,,load shedding,88785.0,False,1.0,10000.005620097125,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79992 load shedding,,79992,,load shedding,88785.0,False,1.0,10000.021431393,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79993 load shedding,,79993,,load shedding,88785.0,False,1.0,10000.007671676798,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79994 load shedding,,79994,,load shedding,88785.0,False,1.0,10000.039753198447,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79995 load shedding,,79995,,load shedding,88785.0,False,1.0,10000.005174122249,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79996 load shedding,,79996,,load shedding,88785.0,False,1.0,10000.007504463014,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79997 load shedding,,79997,,load shedding,88785.0,False,1.0,10000.004548130137,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79998 load shedding,,79998,,load shedding,88785.0,False,1.0,10000.018562484425,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
79999 load shedding,,79999,,load shedding,88785.0,False,1.0,10000.011254805988,0,1.0,0,0,1,0,0.0,PQ,88785.0,88785.0
8 biomass,eGon2035,8,,biomass,1.690625053994897,False,1.0,42.108614653299426,0,1.0,0,0,0,0,inf,PV,1.690625053994897,1.690625053994897
8 central_biomass_CHP,eGon2035,8,,central_biomass_CHP,0.15242460804271452,False,1.0,42.10198604282542,0,1.0,0,0,0,0,inf,PV,0.15242460804271452,0.15242460804271452
8 industrial_biomass_CHP,eGon2035,8,,industrial_biomass_CHP,18.543204957309108,False,1.0,42.1061789816065,0,1.0,0,0,0,0,inf,PV,18.543204957309108,18.543204957309108
8 load shedding,,8,,load shedding,3640185.0,False,1.0,10000.008153976729,0,1.0,0,0,1,0,0.0,PQ,3640185.0,3640185.0
