,0 battery,0 pumped_hydro,1 battery,1 pumped_hydro,2 battery,2 pumped_hydro,3 battery,3 pumped_hydro,4 battery,4 pumped_hydro,43761 battery,43761 pumped_hydro,43762 battery,43762 pumped_hydro,43763 battery,43763 pumped_hydro,43764 battery,43764 pumped_hydro,43765 battery,43766 battery,43767 battery,43767 pumped_hydro,43768 battery,43769 battery,43769 pumped_hydro,43771 battery,43773 battery,43773 pumped_hydro,43774 battery,5 battery,5 pumped_hydro
11,9.90037378584117e-08,1.2558136186728694e-07,1.407583883673326e-07,2.0961098612017482e-07,9.670502589436872e-08,1.2158114890789442e-07,9.628042967948505e-08,1.2104192714667173e-07,1.0976581747405996e-07,1.442442771272843e-07,1.4862679086406988e-07,2.267433529674044e-07,1.1599750511505586e-07,1.574010684409963e-07,1.3923342475918334e-07,2.0608611675765028e-07,2.1840690740787777e-07,4.0433013389747845e-07,9.900373734310396e-08,9.901774835088491e-08,1.3165071799075135e-07,1.8985508064365544e-07,1025.1301772043676,28668.874499994363,24023.999999993997,1.0449333059189706e-07,6.418655019081352e-08,7.120082957692663e-08,6.520183398439459e-08,1.3755515917041354e-07,2.017409821931319e-07
12,12744.347711714856,2034.599999874317,28533.957895581738,12911.999999840453,9354.724463191293,238.79999983541805,20538.782975185677,5567.999999888259,9802.798141212015,18217.79999985706,10605.44969658572,1799.9999998683008,8099.999999882638,8369.999999860833,6283.253853469168,23933.999999848274,8022.03023721884,4125.599853504988,4613.221947064452,1619.046500988965,62594.806756784354,10799.999999683941,1025.1301769364927,28668.874499722868,24023.999999959957,12150.146975591348,1733.0761488323417,3269.5998155112406,6240.096260394989,19825.388812456065,1679.9999998585208
13,12744.34771180748,2034.5999999743137,28533.95789569632,12911.999999965587,9354.724463316446,238.79999997571647,20538.78297526635,5567.999999973787,9802.798141314692,18217.79999997115,10605.449696668968,1799.999999962126,8099.9999999009615,8369.999999880958,6283.253853572684,23933.999999970256,8022.030237240817,4125.599853515758,4613.221998882157,2533.8341027821634,44744.209728268936,7600.784703144628,1025.130177209975,28668.874499999973,24023.99999999997,12150.146975684933,3749.999999903315,7938.599855871171,10651.7114684726,19825.388812548055,1679.9999999648182
14,3.390868034356938e-07,8.610482086153265e-07,28533.957895402076,12911.999999461446,5.139657865317268e-06,6.28050407286071e-06,1.9166058806092197e-07,5.452504912833306e-07,4460.225344487788,7616.170449006762,10605.449696379292,1799.9999995810276,7800.7499921884955,8369.999999572245,6283.253853517283,23933.999999879266,5165.733994695322,4125.599852146433,3.3954580668703544e-07,1.9500344136222e-07,31336.800245746126,5390.365756420563,2.509580293587508e-11,2.5754016633623432e-11,2.878378099404679e-11,3.678301866759604e-08,9.668528435123136e-08,1.3238401673872817e-07,15738.048171956618,19825.38881205287,1679.9999993374292
15,7.217361234929131e-07,5.751071149013675e-07,28533.95789489911,12911.999998782941,3.6831605565055756e-06,4.216414525978025e-06,5.89579457123293e-07,3.7750383279468516e-07,4460.225343894596,7616.170447735682,10605.449696290307,1799.9999991456345,8099.999999889817,8369.999999717007,6283.253853419343,23933.999999637006,8022.030236851776,4125.5998519131035,7.176493186698634e-07,2426.5067742333504,17644.050880641364,3166.1449858461515,1.1756386064086272e-07,1.1826860659844491e-07,8.073882579541015e-08,1.1790517517084654e-07,3749.9999999881447,7938.599855986335,15738.048171995244,19825.388811886434,1679.999998714968
16,1.934705330511003e-08,2.2754682548959253e-08,1.9933559076056663e-08,2.400061419575864e-08,1.7850841677280078e-08,2.1341786083310638e-08,2.031909680904126e-08,2.3557387060294113e-08,1.9309911715393043e-08,2.32031100277722e-08,1.9945279897898166e-08,2.4015635099616336e-08,3.4046207925405116e-08,4.294534621753331e-08,1.5382818991088715e-08,1.8253755784231764e-08,2.686141727974091e-08,3.308036432639406e-08,1.9342365422296974e-08,1.9647078425172088e-08,1.0558169341628098e-07,1.598986768146422e-07,3.3345089323830586e-08,3.7428719556112226e-08,3.4659775310547e-08,2.4645114094686964e-08,1.2640083687895278e-08,1.4869652572618077e-08,1.9641753993526384e-08,2.0115673835479866e-08,2.4234102285447512e-08
17,4274.511544862545,768.8015264693265,19338.282531966375,7276.781860569236,3173.3100745362567,118.1092385421949,7723.619992759285,2461.5566904312695,2163.2426412928367,2176.1011894554044,8650.230337668529,1065.24833209002,4047.978287048441,4177.12999174655,3542.6892585639816,17156.52997885648,7488.064286375701,3688.5867716654366,1652.224986908695,1011.5234584575437,47636.402891625854,6130.197394495583,9.520166935693923e-08,9.529528261139621e-08,1.0406562978109411e-07,5376.421814080134,2667.5771823773944,6637.710461268581,6.998908204882553e-05,16374.509645799795,898.6457646319054
18,10861.699442298494,1424.4814429512235,28533.957895619496,12911.999999875616,9354.724463173265,238.7999997963158,20538.782975201357,5567.999999890729,9802.798141213154,18217.79999984449,10605.44969659448,1799.999999867388,8099.999999907576,8369.999999884185,6283.253853501137,23933.99999987532,8022.030237182506,4125.599853453378,3183.0173837863204,1011.5266394697653,62594.80675682348,10799.999999878226,1025.1301771188935,28668.874499908878,24023.99999988617,12150.14697560957,3749.999999858935,7938.5998558249385,0.00010271109953841756,19825.388812472625,1679.9999998668147
19,12744.347711733699,2034.5999998906243,28533.957893910527,12911.999999624546,9354.724463111366,238.79999980704008,1.7075359099467252e-06,5567.999999470217,9802.798140950457,18217.799999744544,10605.449695825175,1799.9999996711163,8099.9999877145,8369.999999553544,6283.253851845888,23933.99999962569,8022.030236817372,4125.599853322185,4613.221998805062,2533.834102701004,62594.806754338824,10799.999999606016,0.0005871407473792833,7602.139360401613,24023.999999534084,1.1931753846822386e-05,3749.999999712356,7938.599855778184,15738.048171921017,19825.38881173512,1679.999999673812
20,12744.347711647628,2034.599999848875,28533.957895705906,12911.999999985515,9354.724463317383,238.7999999772298,20538.78297527739,5567.999999987564,9802.798141323032,18217.799999981704,10605.449696687047,1799.999999984463,8099.9999999886795,8369.999999986516,6283.253853587856,23933.999999985466,8022.030237285682,4125.599853582759,4613.22199871858,642.1475764419547,62594.80675690669,10799.999999985808,1025.130177207401,28668.8744999974,24023.999999997024,12150.14697568915,3749.9999999831025,7938.59985598016,6.518585160609808e-08,19825.388812565565,1679.9999999843933
