,0 battery,0 pumped_hydro,1 battery,1 pumped_hydro,2 battery,2 pumped_hydro,3 battery,3 pumped_hydro,4 battery,4 pumped_hydro,43761 battery,43761 pumped_hydro,43762 battery,43762 pumped_hydro,43763 battery,43763 pumped_hydro,43764 battery,43764 pumped_hydro,43765 battery,43767 battery,43767 pumped_hydro,43771 battery,43773 battery,43773 pumped_hydro,5 battery,5 pumped_hydro
10,534.6055788841944,85.34830776691913,897.595590387335,406.174085818654,237.88303136744423,6.072489693649854,958.4266794827956,259.8264832819488,317.5441030127511,590.133029004308,223.14931268256024,37.873807741843514,264.875742341571,273.7049337529568,98.10633489791748,373.70398748117145,215.8744763501198,111.02073685598407,202.3909390737404,1763.056604167857,304.1947457231797,316.9693365583623,89.02643504868769,188.46539852205478,218.463034579871,18.512519555799123
11,408.7320062891265,65.25293869877731,1282.0525252012924,580.1460234117471,270.56399871329506,6.9067435546562095,919.5856700487557,249.2968067773114,307.3674908246292,571.2205223049241,233.26388079417347,39.5904933253477,381.08041330797994,393.78309375157926,163.40983786980885,622.4563181280924,256.54129996026455,131.93502370973928,133.08369596981294,2280.227811889765,393.42657393357865,350.3781218034851,127.05118901075357,268.9622802094392,386.54476163764946,32.755735874356645
12,1483.049645221358,236.76478988146022,-1224689483668381.5,-554188475041491.25,742.3837602445917,18.950984889102397,1747.1171258426111,473.638003205753,1752.7581952418768,3257.3758827720317,1637.023359592922,277.8422538918023,-299928417147637.8,-309926031052559.06,1344.314616517537,5120.726741494952,767.1012566886396,394.50771670940475,215.49952123911635,1961.0697711220866,338.3595960343321,325.8134033494252,146.68749208749955,310.53154761675336,7342.2514015389725,622.1811068219395
13,1263.819762693658,201.765343140309,1441.1770245638704,652.1520011060622,357.88565133232095,9.135821570491839,2568.0497345803396,696.1902727804116,924.8767259736304,1718.8173188418148,187.1932087916408,31.77119174209071,757.2671711338702,782.5094101716659,101.68965326093107,387.35346650886174,364.9763508298319,187.70140912081757,308.0977829742029,1993.5470879587133,343.9631762673966,819.9015733862738,114.52868885462163,242.45264875977816,797.7935169220506,67.60488387388737
14,874.9758848960572,139.68748936104478,-3.895603756087054e+20,-1.7628131324236726e+20,1686.6033153300182,43.05427415626448,3166.4307587629282,858.4095019653852,4949.728959144747,9198.71764487825,1486.890269140774,252.36105596598938,-1.0032575866396217e+20,-1.0366995061942759e+20,692.3160829763293,2637.1516281268373,1042.7327465108494,536.2605149936444,564.8544222972562,1688.1963708180672,291.27849017314,1102.7006871280225,125.9335338688636,266.59624902318177,4358.993347054423,369.3803381250777
15,1495.4726627257064,238.74809039913893,1.1789391515782549e+17,5.334858339951063e+16,765.9011012182093,19.5513169508868,3948.8685787159316,1070.5259543735037,1086.1500196728339,2018.5322132619785,904.9929796879403,153.59908443535113,2.88794044549303e+16,2.984205127009464e+16,745.105416505976,2838.235324271736,520.9488910302019,267.9155531693253,554.6734359483445,1269.9552163310198,219.11588272231114,1440.806645931066,198.01706817929548,419.19420504898596,4214.815443387133,357.162727643342
16,205.85876077131024,32.86478399177404,1446.9027535257528,654.7429705266388,161.31257473961216,4.117859697396123,477.4263643458027,129.4287981851647,158.64385709544294,294.82827434808615,151.82228996488746,25.767895728347238,334.144869119355,345.2830314233335,292.71193127677776,1114.990342012751,191.0846032826303,98.27170778570478,297.4722868867335,1729.3031166262435,298.3709771977002,416.383273901938,105.8462068146211,224.07218191378593,483.9723453724473,41.011732375701996
17,313.0356119597037,49.975272999031084,666.6717162804173,301.67792467039766,147.28690694516845,3.7598235540078306,848.9225907660555,230.140266396147,276.1026783259963,513.1171019421496,164.37390764242852,27.898207263048487,227.78816853884706,235.38110749014197,61.793700640673364,235.3828868917174,235.35573914980068,121.0396338903784,94.96908472086002,1165.0807495138374,201.0210230956321,494.19948427876255,86.27360427223387,182.6377659872418,236.54738653536998,20.044984395326612
18,475.4579655546175,75.90555425756045,911.3768955557947,412.4103118965601,347.57402952187266,8.87259465258679,1167.91430303584,316.6179245930912,388.87186711302815,722.6905826834295,202.79065386874746,34.418453474662776,260.81335227996476,269.5071306892969,82.45826799581141,314.0977958547701,290.9156804135993,149.61320925265488,196.055279216319,1507.748858432261,260.1443876055775,663.3684401043707,184.12068956229135,389.77612790555384,464.1024955581554,39.32796475814935
19,1476.2097748286803,235.6728234179255,1104.653492534334,499.870573431515,405.2438369395153,10.344743839375463,1971.3468270008461,534.4259757721535,802.208305179093,1490.8468226498308,204.87066099851288,34.771480733350614,389.7802254702663,402.77289965260854,149.33011053229714,568.8242029935226,293.6975490915341,151.04387912934746,649.6472388502814,1717.910118636824,296.4052489742142,567.6224438592188,122.55210329266073,259.4378958804303,465.6460458856771,39.45876494445345
20,525.8679368229969,83.95336728509186,709.478532651584,321.0485852357673,200.22084366625774,5.111079183025847,972.6260959304769,263.67590079007556,282.3851489063423,524.7926246743767,184.43930384043946,31.30378780789404,296.1707505482882,306.0431088998978,86.05225823920371,327.78792591947644,210.21547863573755,108.11040624747766,260.48904753422073,1573.678858695553,271.51983614092796,563.5471313074887,138.67636687011878,293.5723162841942,293.49316462046687,24.870559726402266
21,1293.4333175457903,206.49306558358683,983939651612994.2,445245935669284.5,996.2535445223326,25.43157175439435,3102.3358612863144,841.0335751843689,2242.2601073088204,4167.080214645158,1154.5296473602057,195.95146124685408,240968397387508.5,249000677300425.44,931.6148921995801,3548.682155684271,986.280573316376,507.2280792414564,492.076482684338,3170.623481360856,547.0539070705195,1016.9939134051592,293.5937283592005,621.5261679132939,1457.2901575163828,123.49051449998198
