name,scn_name,bus,carrier,p_nom,p_nom_extendable,p_nom_min,p_max_pu,capital_cost,max_hours,efficiency_store,efficiency_dispatch,control,p_nom_opt
21 pumped_hydro,eGon2035,21,pumped_hydro,263.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,263.0
22 battery,eGon2035,22,battery,0.0,True,172.7356351670422,1.0,3696.556307552409,6.0,0.9797958971132711,0.9797958971132711,PV,172.73660590521578
23 battery,eGon2035,23,battery,0.0,True,255.55725967300165,1.0,3696.556307552409,6.0,0.9797958971132713,0.9797958971132713,PV,255.55770086250934
24 battery,eGon2035,24,battery,0.0,True,188.91105839183942,1.0,3696.556307552409,6.0,0.9797958971132712,0.9797958971132712,PV,188.91167441564698
25 battery,eGon2035,25,battery,0.0,True,72.68743361851975,1.0,3696.556307552409,6.0,0.9797958971132712,0.9797958971132712,PV,72.68873798686697
26 battery,eGon2035,26,battery,0.0,True,351.39527671377266,1.0,3696.556307552409,6.0,0.9797958971132712,0.9797958971132712,PV,351.3953715663783
26 pumped_hydro,eGon2035,26,pumped_hydro,59.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,59.0
27 battery,eGon2035,27,battery,0.0,True,139.03957341801873,1.0,3696.556307552409,5.999999999999999,0.9797958971132711,0.9797958971132711,PV,139.04124868070002
28 battery,eGon2035,28,battery,0.0,True,669.7861014836445,1.0,3696.556307552409,6.0,0.9797958971132712,0.9797958971132712,PV,669.7863833940702
29 battery,eGon2035,29,battery,0.0,True,81.1175724430984,1.0,3696.556307552409,6.0,0.9797958971132712,0.9797958971132712,PV,81.11906679706529
3 battery,eGon2035,3,battery,0.0,True,37.6852438186784,1.0,3696.556307552409,6.0,0.9797958971132712,0.9797958971132712,PV,37.686270149716385
30 battery,eGon2035,30,battery,0.0,True,124.15859428023063,1.0,3696.556307552409,6.0,0.9797958971132712,0.9797958971132712,PV,124.15982921001921
31 battery,eGon2035,31,battery,0.0,True,107.04303097010738,1.0,3696.556307552409,6.0,0.9797958971132712,0.9797958971132712,PV,107.04438030168808
31 pumped_hydro,eGon2035,31,pumped_hydro,138.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,138.0
32 battery,eGon2035,32,battery,0.0,True,117.40021383735237,1.0,3696.5563075524096,6.0,0.9797958971132712,0.9797958971132712,PV,117.40149671049416
33 battery,eGon2035,33,battery,0.0,True,165.4411779099567,1.0,3696.556307552409,6.0,0.9797958971132711,0.9797958971132711,PV,165.44172360505783
34 battery,eGon2035,34,battery,0.0,True,74.99913807460328,1.0,3696.556307552409,6.0,0.9797958971132712,0.9797958971132712,PV,75.0005956276203
35 battery,eGon2035,35,battery,0.0,True,263.64638297340224,1.0,3696.556307552409,6.0,0.9797958971132713,0.9797958971132713,PV,263.6467570106477
36 battery,eGon2035,36,battery,0.0,True,647.2073496613241,1.0,3696.5563075524096,6.0,0.9797958971132712,0.9797958971132712,PV,647.2076789122129
37 battery,eGon2035,37,battery,0.0,True,23.920735063948705,1.0,3696.556307552409,6.0,0.9797958971132712,0.9797958971132712,PV,23.9224401168707
38 battery,eGon2035,38,battery,0.0,True,577.5878229995335,1.0,3696.5563075524087,6.0,0.9797958971132713,0.9797958971132713,PV,577.5881339816342
38 pumped_hydro,eGon2035,38,pumped_hydro,160.0,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,160.0
39 battery,eGon2035,39,battery,0.0,True,155.66776037450094,1.0,3696.556307552409,6.0,0.9797958971132712,0.9797958971132712,PV,155.66884954289753
4 battery,eGon2035,4,battery,0.0,True,371.6645745468869,1.0,3696.556307552409,6.000000000000001,0.9797958971132712,0.9797958971132712,PV,371.6650317771409
40 battery,eGon2035,40,battery,0.0,True,215.15460009433292,1.0,3696.5563075524096,6.0,0.9797958971132712,0.9797958971132712,PV,215.15507185039735
40 pumped_hydro,eGon2035,40,pumped_hydro,39.8,False,0.0,1.0,0.0,6.0,0.8660254037844386,0.8660254037844386,PV,39.8
41 battery,eGon2035,41,battery,0.0,True,291.6284636083045,1.0,3696.5563075524096,6.0,0.9797958971132712,0.9797958971132712,PV,291.62877302340854
