name,scn_name,bus,carrier,p_set
69893 land transport EV,eGon2035,69893,land transport EV,0.0
69895 land transport EV,eGon2035,69895,land transport EV,0.0
69897 land transport EV,eGon2035,69897,land transport EV,0.0
69898 land transport EV,eGon2035,69898,land transport EV,0.0
69900 land transport EV,eGon2035,69900,land transport EV,0.0
69905 land transport EV,eGon2035,69905,land transport EV,0.0
69906 land transport EV,eGon2035,69906,land transport EV,0.0
69907 land transport EV,eGon2035,69907,land transport EV,0.0
69909 land transport EV,eGon2035,69909,land transport EV,0.0
69911 land transport EV,eGon2035,69911,land transport EV,0.0
69912 land transport EV,eGon2035,69912,land transport EV,0.0
69913 land transport EV,eGon2035,69913,land transport EV,0.0
69923 land transport EV,eGon2035,69923,land transport EV,0.0
69925 land transport EV,eGon2035,69925,land transport EV,0.0
69928 land transport EV,eGon2035,69928,land transport EV,0.0
69929 land transport EV,eGon2035,69929,land transport EV,0.0
69931 land transport EV,eGon2035,69931,land transport EV,0.0
69933 land transport EV,eGon2035,69933,land transport EV,0.0
69935 land transport EV,eGon2035,69935,land transport EV,0.0
69936 land transport EV,eGon2035,69936,land transport EV,0.0
69971 land transport EV,eGon2035,69971,land transport EV,0.0
69984 land transport EV,eGon2035,69984,land transport EV,0.0
69989 land transport EV,eGon2035,69989,land transport EV,0.0
7 AC,eGon2035,7,AC,0.0
70 AC,eGon2035,70,AC,0.0
70023 land transport EV,eGon2035,70023,land transport EV,0.0
70037 land transport EV,eGon2035,70037,land transport EV,0.0
70047 land transport EV,eGon2035,70047,land transport EV,0.0
70050 land transport EV,eGon2035,70050,land transport EV,0.0
70071 land transport EV,eGon2035,70071,land transport EV,0.0
70077 land transport EV,eGon2035,70077,land transport EV,0.0
70082 land transport EV,eGon2035,70082,land transport EV,0.0
70083 land transport EV,eGon2035,70083,land transport EV,0.0
70094 land transport EV,eGon2035,70094,land transport EV,0.0
70099 land transport EV,eGon2035,70099,land transport EV,0.0
70101 land transport EV,eGon2035,70101,land transport EV,0.0
70124 land transport EV,eGon2035,70124,land transport EV,0.0
70125 land transport EV,eGon2035,70125,land transport EV,0.0
70162 land transport EV,eGon2035,70162,land transport EV,0.0
70176 land transport EV,eGon2035,70176,land transport EV,0.0
70192 land transport EV,eGon2035,70192,land transport EV,0.0
70210 land transport EV,eGon2035,70210,land transport EV,0.0
70218 land transport EV,eGon2035,70218,land transport EV,0.0
70235 land transport EV,eGon2035,70235,land transport EV,0.0
70240 land transport EV,eGon2035,70240,land transport EV,0.0
70243 land transport EV,eGon2035,70243,land transport EV,0.0
70246 land transport EV,eGon2035,70246,land transport EV,0.0
70259 land transport EV,eGon2035,70259,land transport EV,0.0
70263 land transport EV,eGon2035,70263,land transport EV,0.0
