name,scn_name,bus,type,carrier,p_nom,p_nom_extendable,p_max_pu,marginal_cost,build_year,efficiency,min_up_time,min_down_time,up_time_before,down_time_before,e_nom_max,control,weight,p_nom_opt
1 load shedding,,1,,load shedding,185720280.0,False,1.0,10000.008085136198,0,1.0,0,0,1,0,0.0,PQ,185720280.0,185720280.0
1 oil,eGon2035,1,,oil,65.6,False,1.0,101.84696011080571,0,1.0,0,0,0,0,inf,PV,65.6,65.6
1 others,eGon2035,1,,others,400.0,False,1.0,0.008326306744762136,0,1.0,0,0,0,0,inf,PV,400.0,400.0
1 reservoir,eGon2035,1,,reservoir,197.485998634836,False,0.6500000000000001,0.01054923704372173,0,1.0000000000000002,0,0,0,0,inf,PV,197.485998634836,197.485998634836
1 run_of_river,eGon2035,1,,run_of_river,70.48356394933796,False,0.65,0.008096215084123469,0,1.0,0,0,0,0,inf,PV,70.48356394933796,70.48356394933796
1 solar,eGon2035,1,,solar,1660.6855249527873,False,0.9999999999999999,0.017588492402776327,0,0.9999999999999999,0,0,0,0,inf,PV,1660.6855249527873,1660.6855249527873
1 solar_rooftop,eGon2035,1,,solar_rooftop,18042.59530469017,False,1.0,0.018517574515389663,0,1.0,0,0,0,0,inf,PV,18042.59530469017,18042.59530469017
1 wind_offshore,eGon2035,1,,wind_offshore,10714.0,False,1.0,2.5702560055936563,0,1.0,0,0,0,0,inf,PV,10714.0,10714.0
1 wind_onshore,eGon2035,1,,wind_onshore,16688.153017205837,False,0.9999999999999999,1.3086749594006037,0,0.9999999999999999,0,0,0,0,inf,PV,16688.153017205837,16688.153017205837
2 biomass,eGon2035,2,,biomass,147.52291586638108,False,1.0,42.10837673585927,0,1.0,0,0,0,0,inf,PV,147.52291586638108,147.52291586638108
2 central_biomass_CHP,eGon2035,2,,central_biomass_CHP,127.22052772770061,False,1.0,42.10857531194463,0,1.0,0,0,0,0,inf,PV,127.22052772770061,127.22052772770061
2 industrial_biomass_CHP,eGon2035,2,,industrial_biomass_CHP,1525.9761131939765,False,1.0,42.10810093830292,0,1.0,0,0,0,0,inf,PV,1525.9761131939765,1525.9761131939765
2 load shedding,,2,,load shedding,113398520.0,False,0.9999999999999999,10000.007931423634,0,0.9999999999999999,0,0,1,0,0.0,PQ,113398520.0,113398520.0
2 others,eGon2035,2,,others,106.85649517471778,False,0.9999999999999999,0.008627448687309355,0,0.9999999999999999,0,0,0,0,inf,PV,106.85649517471778,106.85649517471778
2 reservoir,eGon2035,2,,reservoir,196.13800339213137,False,0.6499999999999999,0.007505953280954317,0,0.9999999999999999,0,0,0,0,inf,PV,196.13800339213137,196.13800339213137
2 run_of_river,eGon2035,2,,run_of_river,2702.3746066282574,False,0.65,0.008065634059550741,0,1.0,0,0,0,0,inf,PV,2702.3746066282574,2702.3746066282574
2 solar,eGon2035,2,,solar,11014.894760943142,False,1.0,0.01732291985820364,0,1.0,0,0,0,0,inf,PV,11014.894760943142,11014.894760943142
2 solar_rooftop,eGon2035,2,,solar_rooftop,17120.586329670736,False,0.9999999999999999,0.01801251362716945,0,0.9999999999999999,0,0,0,0,inf,PV,17120.586329670736,17120.586329670736
2 wind_onshore,eGon2035,2,,wind_onshore,3151.532487304839,False,1.0000000000000002,1.307724356840987,0,1.0000000000000002,0,0,0,0,inf,PV,3151.532487304839,3151.532487304839
3 biomass,eGon2035,3,,biomass,120.77371793130558,False,0.9999999999999998,42.10855636598386,0,0.9999999999999998,0,0,0,0,inf,PV,120.77371793130558,120.77371793130558
