name,scn_name,v_nom,type,carrier,x,y,country,control,generator
48779,eGon2035,1,,H2_saltcavern,10.79854542,52.13122573,DE,Slack,48779 load shedding
48780,eGon2035,1,,H2_saltcavern,9.869482073,52.07398746,DE,Slack,48780 load shedding
48781,eGon2035,1,,H2_saltcavern,7.688834864,52.50901708,DE,Slack,48781 load shedding
48782,eGon2035,1,,H2_saltcavern,7.273981009,52.32163201,DE,Slack,48782 load shedding
48794,eGon2035,1,,H2_saltcavern,8.522045505,53.5217877,DE,Slack,48794 load shedding
48805,eGon2035,1,,H2_saltcavern,7.372864636,53.40439145,DE,Slack,48805 load shedding
48807,eGon2035,1,,H2_saltcavern,7.992970794,53.39505031,DE,Slack,48807 load shedding
48814,eGon2035,1,,H2_saltcavern,9.235785995,52.89864618,DE,Slack,48814 load shedding
48816,eGon2035,1,,H2_saltcavern,7.580073699,52.91491532,DE,Slack,48816 load shedding
48818,eGon2035,1,,H2_saltcavern,7.390010903,53.05895177,DE,Slack,48818 load shedding
48819,eGon2035,1,,H2_saltcavern,10.63274829,52.61241656,DE,Slack,48819 load shedding
48820,eGon2035,1,,H2_saltcavern,10.05868277,52.50846339,DE,Slack,48820 load shedding
48849,eGon2035,1,,H2_saltcavern,8.828502207,53.07895769,DE,Slack,48849 load shedding
49,eGon2035,380,,AC,9.25287,52.6778326,DE,PV,49 biomass
49541,eGon2035,1,,central_heat,10.02149275,47.83333384,DE,Slack,49541 central_biomass_CHP_heat
49604,eGon2035,1,,central_heat,11.57240579,48.13205609,DE,Slack,49604 central_biomass_CHP_heat
49649,eGon2035,1,,central_heat,11.72944642,48.11363398,DE,Slack,49649 central_biomass_CHP_heat
49717,eGon2035,1,,central_heat,10.60921324,49.04365056,DE,Slack,49717 central_biomass_CHP_heat
49735,eGon2035,1,,central_heat,11.75325873,48.34729784,DE,Slack,49735 load shedding
49807,eGon2035,1,,central_heat,9.28595903,48.54535102,DE,Slack,49807 load shedding
49887,eGon2035,1,,central_heat,9.668960537,48.70282832,DE,Slack,49887 load shedding
49894,eGon2035,1,,central_heat,9.351901824,48.72561623,DE,Slack,49894 load shedding
49934,eGon2035,1,,central_heat,9.19177129,48.79624048,DE,Slack,49934 load shedding
49970,eGon2035,1,,central_heat,9.26262175,48.83468253,DE,Slack,49970 central_biomass_CHP_heat
49975,eGon2035,1,,central_heat,8.843102472,48.83782673,DE,Slack,49975 load shedding
49977,eGon2035,1,,central_heat,9.186330357,48.85924981,DE,Slack,49977 central_biomass_CHP_heat
5,eGon2035,380,,AC,10.0672158,53.5236832,DE,PV,5 biomass
50,eGon2035,380,,AC,10.5919735,47.8652602,DE,PV,50 biomass
50013,eGon2035,1,,central_heat,8.850965461,48.95474595,DE,Slack,50013 load shedding
50028,eGon2035,1,,central_heat,9.269669758,48.94188245,DE,Slack,50028 load shedding
50189,eGon2035,1,,central_heat,11.59477814,49.36588735,DE,Slack,50189 central_biomass_CHP_heat
50269,eGon2035,1,,central_heat,8.185754428,49.55641312,DE,Slack,50269 load shedding
50364,eGon2035,1,,central_heat,6.719150543,49.80391599,DE,Slack,50364 load shedding
